import time: self [us] | cumulative | imported package
import time:       131 |        131 |   _io
import time:        22 |         22 |   marshal
import time:       265 |        265 |   posix
import time:       460 |        877 | _frozen_importlib_external
import time:       103 |        103 |   time
import time:       125 |        227 | zipimport
import time:       109 |        109 |     _codecs
import time:       660 |        769 |   codecs
import time:       696 |        696 |   encodings.aliases
import time:      1267 |       2730 | encodings
import time:       296 |        296 | encodings.utf_8
import time:        62 |         62 | _signal
import time:        37 |         37 |     _abc
import time:       421 |        457 |   abc
import time:       369 |        826 | io
import time:        41 |         41 |       _stat
import time:       359 |        399 |     stat
import time:      1116 |       1116 |     _collections_abc
import time:       379 |        379 |       genericpath
import time:       598 |        977 |     posixpath
import time:       811 |       3303 |   os
import time:       355 |        355 |   _sitebuiltins
import time:     12692 |      12692 |   _virtualenv
import time:     10167 |      10167 |   _distutils_hack
import time:      4207 |       4207 |     apport_python_hook
import time:       759 |       4966 |   sitecustomize
import time:    115121 |     146600 | site
import time:      2005 |       2005 |       types
import time:      1707 |       3711 |     enum
import time:        81 |         81 |       _sre
import time:      1412 |       1412 |         sre_constants
import time:      1993 |       3405 |       sre_parse
import time:      1334 |       4819 |     sre_compile
import time:        99 |         99 |         itertools
import time:      1171 |       1171 |         keyword
import time:        68 |         68 |           _operator
import time:      1625 |       1692 |         operator
import time:      1595 |       1595 |         reprlib
import time:        66 |         66 |         _collections
import time:      2169 |       6790 |       collections
import time:        50 |         50 |       _functools
import time:      2006 |       8845 |     functools
import time:        66 |         66 |     _locale
import time:      1512 |       1512 |     copyreg
import time:      1534 |      20485 |   re
import time:      1728 |       1728 |         token
import time:      2679 |       4406 |       tokenize
import time:      1351 |       5757 |     linecache
import time:      1512 |       7268 |   traceback
import time:      1885 |       1885 |   warnings
import time:      1176 |       1176 |     _weakrefset
import time:      2004 |       3180 |   weakref
import time:       574 |        574 |   collections.abc
import time:        97 |         97 |     _string
import time:      3077 |       3174 |   string
import time:      2596 |       2596 |   threading
import time:        61 |         61 |   atexit
import time:      7697 |      46916 | logging
import time:        47 |         47 | math
import time:      1953 |       1953 | signal
import time:       357 |        357 |       errno
import time:       135 |        135 |           _socket
import time:       157 |        157 |             select
import time:      2915 |       3072 |           selectors
import time:        96 |         96 |           array
import time:      2535 |       5836 |         socket
import time:        82 |         82 |             _struct
import time:      1276 |       1357 |           struct
import time:      2138 |       2138 |           _compat_pickle
import time:       195 |        195 |           _pickle
import time:      6196 |       6196 |               org
import time:        43 |       6238 |             org.python
import time:        14 |       6252 |           org.python.core
import time:      2296 |      12236 |         pickle
import time:        65 |         65 |             _heapq
import time:      2750 |       2815 |           heapq
import time:      1610 |       1610 |           _queue
import time:      1850 |       6274 |         queue
import time:      3914 |       3914 |               org
import time:        37 |       3951 |             org.python
import time:        25 |       3976 |           org.python.core
import time:      2513 |       6488 |         copy
import time:      1529 |      32360 |       logging.handlers
import time:      2210 |       2210 |       socketserver
import time:      2722 |      37648 |     logging.config
import time:      2248 |       2248 |       fnmatch
import time:      7117 |       7117 |         _winapi
import time:     12850 |      12850 |         nt
import time:      4928 |       4928 |         nt
import time:      3702 |       3702 |         nt
import time:      2622 |       2622 |         nt
import time:      4960 |      36176 |       ntpath
import time:      1128 |       1128 |         urllib
import time:      4576 |       4576 |         ipaddress
import time:      2075 |       7778 |       urllib.parse
import time:      3859 |      50060 |     pathlib
import time:      2714 |       2714 |       contextlib
import time:      4656 |       7369 |     typing
import time:     28350 |      28350 |         hydra._internal
import time:     45685 |      74035 |       hydra._internal.instantiate
import time:      2803 |       2803 |       textwrap
import time:      3287 |       3287 |                 _ast
import time:      4095 |       7381 |               ast
import time:      1192 |       1192 |                   _opcode
import time:      2165 |       3357 |                 opcode
import time:      1866 |       5222 |               dis
import time:      1648 |       1648 |                 importlib
import time:       847 |       2495 |               importlib.machinery
import time:      2823 |      17919 |             inspect
import time:      1887 |      19806 |           dataclasses
import time:     28841 |      28841 |             antlr4.Token
import time:     15627 |      15627 |             antlr4.InputStream
import time:     13813 |      13813 |             antlr4.FileStream
import time:     21484 |      21484 |             antlr4.StdinStream
import time:     36286 |      36286 |                 antlr4.error
import time:     43918 |      43918 |                       antlr4.tree
import time:     41607 |      85524 |                     antlr4.tree.Tree
import time:     49155 |      49155 |                       antlr4.Utils
import time:     26894 |      76049 |                     antlr4.tree.Trees
import time:     18128 |     179700 |                   antlr4.RuleContext
import time:     38439 |     218139 |                 antlr4.ParserRuleContext
import time:     32791 |      32791 |                   antlr4.error.ErrorListener
import time:     75183 |     107974 |                 antlr4.Recognizer
import time:     38137 |     400534 |               antlr4.error.Errors
import time:     19934 |     420468 |             antlr4.BufferedTokenStream
import time:     19551 |      19551 |                 antlr4.CommonTokenFactory
import time:     49695 |      49695 |                   antlr4.atn
import time:     27297 |      27297 |                       antlr4.IntervalSet
import time:     23624 |      23624 |                       antlr4.atn.ATNType
import time:     21447 |      21447 |                           antlr4.atn.SemanticContext
import time:     16807 |      38254 |                         antlr4.atn.Transition
import time:     19580 |      57833 |                       antlr4.atn.ATNState
import time:     30498 |     139250 |                     antlr4.atn.ATN
import time:     27500 |     166750 |                   antlr4.PredictionContext
import time:     15518 |      15518 |                       antlr4.atn.LexerAction
import time:     17675 |      33192 |                     antlr4.atn.LexerActionExecutor
import time:     24490 |      57682 |                   antlr4.atn.ATNConfig
import time:     17019 |      17019 |                     antlr4.atn.ATNConfigSet
import time:     21873 |      21873 |                       antlr4.dfa
import time:     23130 |      45003 |                     antlr4.dfa.DFAState
import time:     22221 |      84242 |                   antlr4.atn.ATNSimulator
import time:     36777 |     395143 |                 antlr4.atn.LexerATNSimulator
import time:     28331 |     443024 |               antlr4.Lexer
