   Building upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
Downloading onnxruntime (16.6MiB)
      Built upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
 Downloading onnxruntime
Installed 5 packages in 5.40s
import time: self [us] | cumulative | imported package
import time:     15181 |      15181 |                 antlr4.atn.ATNDeserializationOptions
import time:     21995 |      49997 |               antlr4.atn.ATNDeserializer
import time:     19746 |      19746 |                 antlr4.ListTokenSource
import time:     46572 |      46572 |                 antlr4.tree.Chunk
import time:     22702 |      22702 |                 antlr4.tree.RuleTagToken
import time:     20361 |      20361 |                 antlr4.tree.TokenTagToken
import time:     22285 |     131664 |               antlr4.tree.ParseTreePatternMatcher
import time:     15532 |     219025 |             antlr4.Parser
import time:     17855 |      17855 |             antlr4.dfa.DFA
import time:     61398 |      61398 |               antlr4.atn.PredictionMode
import time:     22686 |      84083 |             antlr4.atn.ParserATNSimulator
import time:     25184 |      25184 |             antlr4.error.DiagnosticErrorListener
import time:     26274 |    1061503 |           antlr4
import time:     24472 |      24472 |               yaml.error
import time:     14666 |      14666 |               yaml.tokens
import time:     20888 |      20888 |               yaml.events
import time:     13807 |      13807 |               yaml.nodes
import time:     15343 |      15343 |                 yaml.reader
import time:     13198 |      13198 |                 yaml.scanner
import time:      9767 |       9767 |                 yaml.parser
import time:     10732 |      10732 |                 yaml.composer
import time:       134 |        134 |                     _datetime
import time:      1196 |       1329 |                   datetime
import time:       141 |        141 |                     binascii
import time:      1069 |       1210 |                   base64
import time:     10809 |      13347 |                 yaml.constructor
import time:     11557 |      11557 |                 yaml.resolver
import time:     18261 |      92203 |               yaml.loader
import time:     10634 |      10634 |                 yaml.emitter
import time:     10641 |      10641 |                 yaml.serializer
import time:     12201 |      12201 |                 yaml.representer
import time:     10065 |      43540 |               yaml.dumper
import time:       206 |        206 |                   yaml.yaml
import time:      8668 |       8874 |                 yaml._yaml
import time:     13766 |      22639 |               yaml.cyaml
import time:     21737 |     253948 |             yaml
import time:      4742 |       4742 |             omegaconf.errors
import time:      8865 |       8865 |                     omegaconf.grammar
import time:     14230 |      23094 |                   omegaconf.grammar.gen
