import time: self [us] | cumulative | imported package
import time:       132 |        132 |   _io
import time:        24 |         24 |   marshal
import time:       282 |        282 |   posix
import time:       484 |        920 | _frozen_importlib_external
import time:        94 |         94 |   time
import time:       110 |        203 | zipimport
import time:       104 |        104 |     _codecs
import time:       611 |        715 |   codecs
import time:       938 |        938 |   encodings.aliases
import time:      2122 |       3773 | encodings
import time:       319 |        319 | encodings.utf_8
import time:        63 |         63 | _signal
import time:        42 |         42 |     _abc
import time:       999 |       1041 |   abc
import time:       733 |       1773 | io
import time:        43 |         43 |       _stat
import time:       415 |        457 |     stat
import time:      1193 |       1193 |     _collections_abc
import time:       273 |        273 |       genericpath
import time:       375 |        648 |     posixpath
import time:       779 |       3076 |   os
import time:       344 |        344 |   _sitebuiltins
import time:     12341 |      12341 |   _virtualenv
import time:      8017 |       8017 |   _distutils_hack
import time:      3230 |       3230 |     apport_python_hook
import time:       502 |       3731 |   sitecustomize
import time:    126658 |     154165 | site
import time:       922 |        922 |       types
import time:      1251 |       2172 |     enum
import time:        59 |         59 |       _sre
import time:       894 |        894 |         sre_constants
import time:      1579 |       2473 |       sre_parse
import time:      1080 |       3611 |     sre_compile
import time:       107 |        107 |         itertools
import time:      1301 |       1301 |         keyword
import time:        67 |         67 |           _operator
import time:      1493 |       1560 |         operator
import time:      1914 |       1914 |         reprlib
import time:       103 |        103 |         _collections
import time:      1858 |       6841 |       collections
import time:        54 |         54 |       _functools
import time:      1949 |       8843 |     functools
import time:        58 |         58 |     _locale
import time:       966 |        966 |     copyreg
import time:      1148 |      16795 |   re
import time:       967 |        967 |         token
import time:      1602 |       2569 |       tokenize
import time:       983 |       3552 |     linecache
import time:      1429 |       4981 |   traceback
import time:      2122 |       2122 |   warnings
import time:      1185 |       1185 |     _weakrefset
import time:      1849 |       3034 |   weakref
import time:       598 |        598 |   collections.abc
import time:        43 |         43 |     _string
import time:      1444 |       1486 |   string
import time:      1543 |       1543 |   threading
import time:        42 |         42 |   atexit
import time:      4678 |      35274 | logging
