import time: self [us] | cumulative | imported package
import time:       123 |        123 |   _io
import time:        21 |         21 |   marshal
import time:       231 |        231 |   posix
import time:       426 |        799 | _frozen_importlib_external
import time:        79 |         79 |   time
import time:       112 |        191 | zipimport
import time:       110 |        110 |     _codecs
import time:       596 |        705 |   codecs
import time:       680 |        680 |   encodings.aliases
import time:      1515 |       2899 | encodings
import time:       350 |        350 | encodings.utf_8
import time:        79 |         79 | _signal
import time:        41 |         41 |     _abc
import time:       446 |        487 |   abc
import time:       747 |       1233 | io
import time:        53 |         53 |       _stat
import time:       437 |        489 |     stat
import time:      1408 |       1408 |     _collections_abc
import time:       375 |        375 |       genericpath
import time:       596 |        970 |     posixpath
import time:       867 |       3732 |   os
import time:       397 |        397 |   _sitebuiltins
import time:      7119 |       7119 |   _virtualenv
import time:      6908 |       6908 |   _distutils_hack
import time:      3375 |       3375 |     apport_python_hook
import time:       544 |       3918 |   sitecustomize
import time:     70708 |      92780 | site
import time:      1146 |       1146 |       types
import time:      1463 |       2609 |     enum
import time:        91 |         91 |       _sre
import time:      1209 |       1209 |         sre_constants
import time:      2302 |       3510 |       sre_parse
import time:      1499 |       5099 |     sre_compile
import time:        98 |         98 |         itertools
import time:      1382 |       1382 |         keyword
import time:        69 |         69 |           _operator
import time:      1440 |       1509 |         operator
import time:      1042 |       1042 |         reprlib
import time:        60 |         60 |         _collections
import time:      1824 |       5913 |       collections
import time:        42 |         42 |       _functools
import time:      1946 |       7901 |     functools
import time:        53 |         53 |     _locale
import time:      1133 |       1133 |     copyreg
import time:      1322 |      18115 |   re
import time:       919 |        919 |         token
import time:      1494 |       2412 |       tokenize
import time:      1004 |       3416 |     linecache
import time:      1415 |       4830 |   traceback
import time:      1314 |       1314 |   warnings
import time:      1185 |       1185 |     _weakrefset
import time:      1454 |       2639 |   weakref
import time:       558 |        558 |   collections.abc
import time:        40 |         40 |     _string
import time:      1306 |       1345 |   string
import time:      1560 |       1560 |   threading
import time:        45 |         45 |   atexit
import time:      5286 |      35689 | logging
import time:        51 |         51 | math
import time:      1646 |       1646 | signal
import time:        73 |         73 |       errno
import time:       129 |        129 |           _socket
import time:        66 |         66 |             select
import time:      1459 |       1525 |           selectors
import time:       149 |        149 |           array
import time:      2073 |       3875 |         socket
import time:        75 |         75 |             _struct
import time:       946 |       1021 |           struct
import time:      1099 |       1099 |           _compat_pickle
import time:       103 |        103 |           _pickle
import time:      2456 |       2456 |               org
import time:        35 |       2491 |             org.python
import time:        11 |       2501 |           org.python.core
import time:      1960 |       6681 |         pickle
import time:        45 |         45 |             _heapq
import time:      1085 |       1129 |           heapq
import time:      1470 |       1470 |           _queue
import time:      1210 |       3809 |         queue
import time:      2251 |       2251 |               org
import time:        37 |       2288 |             org.python
import time:        14 |       2301 |           org.python.core
import time:      1073 |       3373 |         copy
import time:       848 |      18584 |       logging.handlers
import time:      1519 |       1519 |       socketserver
import time:      1905 |      22080 |     logging.config
import time:      1033 |       1033 |       fnmatch
import time:      2848 |       2848 |         _winapi
import time:      2341 |       2341 |         nt
import time:      2834 |       2834 |         nt
import time:      2755 |       2755 |         nt
import time:      2114 |       2114 |         nt
import time:      1173 |      14063 |       ntpath
import time:      1172 |       1172 |         urllib
import time:      3122 |       3122 |         ipaddress
import time:      1490 |       5783 |       urllib.parse
import time:      1781 |      22659 |     pathlib
import time:      1289 |       1289 |       contextlib
import time:      4014 |       5303 |     typing
import time:     18558 |      18558 |         hydra._internal
import time:     28615 |      47173 |       hydra._internal.instantiate
import time:      2089 |       2089 |       textwrap
import time:       632 |        632 |                 _ast
import time:      1516 |       2148 |               ast
import time:      1044 |       1044 |                   _opcode
import time:      1022 |       2065 |                 opcode
import time:      1360 |       3424 |               dis
import time:      3717 |       3717 |                 importlib
import time:       746 |       4463 |               importlib.machinery
import time:      2359 |      12392 |             inspect
import time:      1756 |      14148 |           dataclasses
import time:     24197 |      24197 |             antlr4.Token
import time:     16728 |      16728 |             antlr4.InputStream
import time:     13340 |      13340 |             antlr4.FileStream
import time:     14160 |      14160 |             antlr4.StdinStream
import time:     18417 |      18417 |                 antlr4.error
import time:     21151 |      21151 |                       antlr4.tree
import time:     19751 |      40901 |                     antlr4.tree.Tree
import time:     11597 |      11597 |                       antlr4.Utils
import time:     15096 |      26692 |                     antlr4.tree.Trees
import time:     13568 |      81160 |                   antlr4.RuleContext
import time:     23038 |     104198 |                 antlr4.ParserRuleContext
import time:     13913 |      13913 |                   antlr4.error.ErrorListener
import time:     12977 |      26890 |                 antlr4.Recognizer
import time:     19449 |     168952 |               antlr4.error.Errors
import time:     11851 |     180802 |             antlr4.BufferedTokenStream
import time:      9922 |       9922 |                 antlr4.CommonTokenFactory
import time:     20838 |      20838 |                   antlr4.atn
import time:     17717 |      17717 |                       antlr4.IntervalSet
import time:     24379 |      24379 |                       antlr4.atn.ATNType
import time:     13090 |      13090 |                           antlr4.atn.SemanticContext
import time:     13756 |      26845 |                         antlr4.atn.Transition
import time:     15680 |      42524 |                       antlr4.atn.ATNState
import time:     18073 |     102692 |                     antlr4.atn.ATN
import time:     14514 |     117206 |                   antlr4.PredictionContext
import time:     11307 |      11307 |                       antlr4.atn.LexerAction
import time:     11714 |      23020 |                     antlr4.atn.LexerActionExecutor
import time:     13381 |      36400 |                   antlr4.atn.ATNConfig
import time:     53858 |      53858 |                     antlr4.atn.ATNConfigSet
import time:     20705 |      20705 |                       antlr4.dfa
import time:     23222 |      43926 |                     antlr4.dfa.DFAState
import time:     38346 |     136129 |                   antlr4.atn.ATNSimulator
import time:     27714 |     338284 |                 antlr4.atn.LexerATNSimulator
import time:     10566 |     358771 |               antlr4.Lexer
import time:      9642 |     368412 |             antlr4.CommonTokenStream
import time:     12212 |      12212 |               antlr4.error.ErrorStrategy
import time:        70 |         70 |                       fcntl
import time:      3780 |       3780 |                       msvcrt
import time:        55 |         55 |                       _posixsubprocess
import time:      1481 |       5385 |                     subprocess
import time:      2376 |       7760 |                   platform
import time:      2081 |       2081 |                   _uuid
import time:      1636 |      11476 |                 uuid
