import time: self [us] | cumulative | imported package
import time:       113 |        113 |   _io
import time:        27 |         27 |   marshal
import time:       420 |        420 |   posix
import time:       447 |       1005 | _frozen_importlib_external
import time:       105 |        105 |   time
import time:       131 |        236 | zipimport
import time:        95 |         95 |     _codecs
import time:       557 |        652 |   codecs
import time:       666 |        666 |   encodings.aliases
import time:      1451 |       2768 | encodings
import time:       336 |        336 | encodings.utf_8
import time:        59 |         59 | _signal
import time:        35 |         35 |     _abc
import time:       402 |        436 |   abc
import time:       639 |       1075 | io
import time:        43 |         43 |       _stat
import time:       349 |        391 |     stat
import time:      1141 |       1141 |     _collections_abc
import time:       357 |        357 |       genericpath
import time:       507 |        864 |     posixpath
import time:       739 |       3134 |   os
import time:       385 |        385 |   _sitebuiltins
import time:      7191 |       7191 |   _virtualenv
import time:      7678 |       7678 |   _distutils_hack
import time:      2688 |       2688 |     apport_python_hook
import time:       482 |       3170 |   sitecustomize
import time:     71851 |      93407 | site
import time:       888 |        888 |       types
import time:      1146 |       2033 |     enum
import time:        74 |         74 |       _sre
import time:      1304 |       1304 |         sre_constants
import time:      2101 |       3405 |       sre_parse
import time:      1550 |       5028 |     sre_compile
import time:        77 |         77 |         itertools
import time:       750 |        750 |         keyword
import time:        56 |         56 |           _operator
import time:      1024 |       1080 |         operator
import time:      1077 |       1077 |         reprlib
import time:        57 |         57 |         _collections
import time:      1315 |       4353 |       collections
import time:        41 |         41 |       _functools
import time:      1352 |       5746 |     functools
import time:        48 |         48 |     _locale
import time:       977 |        977 |     copyreg
import time:      1098 |      14928 |   re
import time:       767 |        767 |         token
import time:      1419 |       2185 |       tokenize
import time:       900 |       3085 |     linecache
import time:       999 |       4084 |   traceback
import time:      1297 |       1297 |   warnings
import time:      1048 |       1048 |     _weakrefset
import time:      1574 |       2621 |   weakref
import time:       661 |        661 |   collections.abc
import time:        51 |         51 |     _string
import time:      1773 |       1824 |   string
import time:      1521 |       1521 |   threading
import time:        56 |         56 |   atexit
import time:      4455 |      31442 | logging
import time:        65 |         65 | math
import time:      1527 |       1527 | signal
import time:        65 |         65 |       errno
import time:       123 |        123 |           _socket
import time:        47 |         47 |             select
import time:      1149 |       1196 |           selectors
import time:        63 |         63 |           array
import time:      1819 |       3199 |         socket
import time:        52 |         52 |             _struct
import time:       763 |        815 |           struct
import time:      1167 |       1167 |           _compat_pickle
import time:        84 |         84 |           _pickle
import time:      2766 |       2766 |               org
import time:        36 |       2802 |             org.python
import time:        11 |       2812 |           org.python.core
import time:      1552 |       6427 |         pickle
import time:        49 |         49 |             _heapq
import time:      1205 |       1254 |           heapq
import time:      1579 |       1579 |           _queue
import time:      1368 |       4200 |         queue
import time:      2264 |       2264 |               org
import time:        30 |       2293 |             org.python
import time:        13 |       2305 |           org.python.core
import time:      1088 |       3392 |         copy
import time:       676 |      17892 |       logging.handlers
import time:      1301 |       1301 |       socketserver
import time:      1533 |      20791 |     logging.config
import time:       915 |        915 |       fnmatch
import time:      1954 |       1954 |         _winapi
import time:      2326 |       2326 |         nt
import time:      2919 |       2919 |         nt
import time:      2531 |       2531 |         nt
import time:      1970 |       1970 |         nt
import time:      1105 |      12802 |       ntpath
import time:       906 |        906 |         urllib
import time:      2191 |       2191 |         ipaddress
import time:      1250 |       4347 |       urllib.parse
import time:      1419 |      19482 |     pathlib
import time:      1127 |       1127 |       contextlib
import time:      2068 |       3195 |     typing
import time:     17377 |      17377 |         hydra._internal
import time:     30925 |      48301 |       hydra._internal.instantiate
import time:      1701 |       1701 |       textwrap
import time:       538 |        538 |                 _ast
import time:      4034 |       4572 |               ast
import time:      1166 |       1166 |                   _opcode
import time:      3629 |       4795 |                 opcode
import time:      3923 |       8718 |               dis
import time:      3963 |       3963 |                 importlib
import time:       521 |       4484 |               importlib.machinery
import time:      1917 |      19688 |             inspect
import time:      1335 |      21023 |           dataclasses
import time:     19334 |      19334 |             antlr4.Token
import time:     12427 |      12427 |             antlr4.InputStream
import time:     10860 |      10860 |             antlr4.FileStream
import time:     11533 |      11533 |             antlr4.StdinStream
import time:     16917 |      16917 |                 antlr4.error
import time:     27908 |      27908 |                       antlr4.tree
import time:     21213 |      49121 |                     antlr4.tree.Tree
import time:     13755 |      13755 |                       antlr4.Utils
import time:     11648 |      25402 |                     antlr4.tree.Trees
import time:     18370 |      92893 |                   antlr4.RuleContext
import time:     24519 |     117411 |                 antlr4.ParserRuleContext
import time:     11737 |      11737 |                   antlr4.error.ErrorListener
import time:     10629 |      22365 |                 antlr4.Recognizer
import time:     19540 |     176232 |               antlr4.error.Errors
import time:     15521 |     191753 |             antlr4.BufferedTokenStream
import time:     10977 |      10977 |                 antlr4.CommonTokenFactory
import time:     21252 |      21252 |                   antlr4.atn
import time:      6433 |       6433 |                       antlr4.IntervalSet
import time:     28176 |      28176 |                       antlr4.atn.ATNType
import time:     12313 |      12313 |                           antlr4.atn.SemanticContext
import time:     12936 |      25249 |                         antlr4.atn.Transition
import time:     13659 |      38908 |                       antlr4.atn.ATNState
import time:     10220 |      83735 |                     antlr4.atn.ATN
import time:     11728 |      95462 |                   antlr4.PredictionContext
import time:     10852 |      10852 |                       antlr4.atn.LexerAction
import time:     11899 |      22750 |                     antlr4.atn.LexerActionExecutor
import time:     11580 |      34330 |                   antlr4.atn.ATNConfig
import time:     82149 |      82149 |                     antlr4.atn.ATNConfigSet
import time:     45565 |      45565 |                       antlr4.dfa
import time:     33772 |      79336 |                     antlr4.dfa.DFAState
import time:     53573 |     215058 |                   antlr4.atn.ATNSimulator
import time:     31418 |     397518 |                 antlr4.atn.LexerATNSimulator
import time:     13070 |     421564 |               antlr4.Lexer
import time:     10574 |     432138 |             antlr4.CommonTokenStream
import time:      9687 |       9687 |               antlr4.error.ErrorStrategy
import time:        60 |         60 |                       fcntl
import time:      2620 |       2620 |                       msvcrt
import time:        47 |         47 |                       _posixsubprocess
import time:      1371 |       4096 |                     subprocess
import time:      2162 |       6258 |                   platform
import time:      1562 |       1562 |                   _uuid
import time:      1154 |       8973 |                 uuid
import time:     10466 |      10466 |                 antlr4.atn.ATNDeserializationOptions
import time:     11520 |      30957 |               antlr4.atn.ATNDeserializer
import time:     10056 |      10056 |                 antlr4.ListTokenSource
import time:     10408 |      10408 |                 antlr4.tree.Chunk
import time:     12264 |      12264 |                 antlr4.tree.RuleTagToken
import time:     11087 |      11087 |                 antlr4.tree.TokenTagToken
import time:     11820 |      55634 |               antlr4.tree.ParseTreePatternMatcher
import time:     11228 |     107504 |             antlr4.Parser
import time:     10274 |      10274 |             antlr4.dfa.DFA
import time:     10780 |      10780 |               antlr4.atn.PredictionMode
import time:     11254 |      22034 |             antlr4.atn.ParserATNSimulator
import time:     10563 |      10563 |             antlr4.error.DiagnosticErrorListener
import time:     24301 |     852715 |           antlr4
import time:     51402 |      51402 |               yaml.error
import time:     62936 |      62936 |               yaml.tokens
import time:     19343 |      19343 |               yaml.events
import time:     20409 |      20409 |               yaml.nodes
import time:     14067 |      14067 |                 yaml.reader
import time:     10968 |      10968 |                 yaml.scanner
import time:      8582 |       8582 |                 yaml.parser
import time:     11041 |      11041 |                 yaml.composer
import time:       121 |        121 |                     _datetime
import time:      1548 |       1668 |                   datetime
import time:        64 |         64 |                     binascii
import time:       951 |       1014 |                   base64
import time:      9349 |      12030 |                 yaml.constructor
import time:     11615 |      11615 |                 yaml.resolver
import time:     15286 |      83585 |               yaml.loader
import time:      9443 |       9443 |                 yaml.emitter
import time:      9853 |       9853 |                 yaml.serializer
import time:     12563 |      12563 |                 yaml.representer
import time:     13197 |      45054 |               yaml.dumper
import time:       181 |        181 |                   yaml.yaml
import time:      9348 |       9528 |                 yaml._yaml
import time:      9487 |      19014 |               yaml.cyaml
import time:     14867 |     316607 |             yaml
import time:      3955 |       3955 |             omegaconf.errors
import time:      6875 |       6875 |                     omegaconf.grammar
import time:     13245 |      20119 |                   omegaconf.grammar.gen
import time:     20547 |      40665 |                 omegaconf.grammar.gen.OmegaConfGrammarLexer
import time:     14958 |      14958 |                 omegaconf.grammar.gen.OmegaConfGrammarParser
import time:      8138 |       8138 |                 omegaconf.grammar.gen.OmegaConfGrammarParserVisitor
import time:      5205 |      68965 |               omegaconf.grammar_visitor
import time:      5092 |      74057 |             omegaconf.grammar_parser
import time:      3899 |       3899 |                 attr._compat
import time:      1151 |       1151 |                   __future__
import time:        66 |         66 |                   unicodedata
import time:      3907 |       3907 |                   attr._config
import time:      3718 |       3718 |                     attr.exceptions
import time:      3950 |       7667 |                   attr.setters
import time:      8128 |      20918 |                 attr._make
import time:      7930 |      32746 |               attr.converters
import time:      4729 |       4729 |               attr.filters
import time:      6473 |       6473 |               attr.validators
import time:      4804 |       4804 |               attr._cmp
import time:      5230 |       5230 |               attr._funcs
import time:      4175 |       4175 |               attr._next_gen
import time:      4378 |       4378 |               attr._version_info
import time:     13213 |      75744 |             attr
import time:     12099 |     482460 |           omegaconf._utils
import time:     20210 |    1376406 |         omegaconf.base
import time:      4788 |       4788 |           omegaconf.basecontainer
import time:      4020 |       4020 |           omegaconf.nodes
import time:      6211 |      15017 |         omegaconf.dictconfig
import time:      4934 |       4934 |         omegaconf.listconfig
import time:     11942 |      11942 |               omegaconf.resolvers.oc.dict
import time:     28464 |      40405 |             omegaconf.resolvers.oc
import time:      9062 |      49466 |           omegaconf.resolvers
import time:      4569 |      54035 |         omegaconf.omegaconf
import time:      3836 |       3836 |         omegaconf.version
import time:     16588 |    1470814 |       omegaconf
import time:      2116 |       2116 |           gettext
import time:      1763 |       3879 |         argparse
import time:      7204 |       7204 |             hydra.core
import time:     17005 |      24209 |           hydra.core.config_search_path
import time:      6265 |      30473 |         hydra._internal.config_search_path_impl
import time:      8827 |       8827 |               packaging
import time:      4997 |       4997 |               packaging._structures
import time:     10694 |      24518 |             packaging.version
import time:      4240 |       4240 |               hydra.errors
import time:      5603 |       9843 |             hydra._internal.deprecation_warning
import time:     12182 |      12182 |             hydra.core.singleton
import time:     24400 |      70941 |           hydra.version
import time:      7521 |       7521 |                 hydra.core.object_type
import time:      7214 |       7214 |                   hydra.plugins
import time:      7401 |       7401 |                   hydra.core.default_element
import time:      5738 |       5738 |                   hydra.plugins.plugin
import time:      9222 |      29573 |                 hydra.plugins.config_source
import time:      6709 |      43803 |               hydra.core.config_store
import time:      5032 |       5032 |               hydra.types
import time:     20673 |      69507 |             hydra.conf
import time:      7380 |      76886 |           hydra.core.hydra_config
import time:     36347 |     184173 |         hydra.core.utils
import time:      5907 |     224430 |       hydra._internal.utils
import time:     23040 |    1768285 |     hydra._internal.instantiate._instantiate2
import time:     14995 |    1826745 |   hydra.utils
import time:     37291 |      37291 |   hydra.main
import time:      5283 |       5283 |         hydra.core.config_loader
import time:       378 |        378 |             importlib._abc
import time:       584 |        962 |           importlib.util
import time:      1494 |       1494 |           pkgutil
import time:        48 |         48 |             gc
import time:       974 |       1022 |           timeit
import time:      7112 |       7112 |           hydra._internal.sources_registry
import time:      5179 |       5179 |           hydra.plugins.completion_plugin
import time:      5835 |       5835 |           hydra.plugins.launcher
import time:      6296 |       6296 |           hydra.plugins.search_path_plugin
import time:      6414 |       6414 |           hydra.plugins.sweeper
import time:      6638 |      40947 |         hydra.core.plugins
import time:      8466 |       8466 |         hydra._internal.callbacks
import time:      9686 |       9686 |           hydra._internal.config_repository
import time:     14108 |      14108 |               hydra.core.override_parser
import time:      1803 |       1803 |                   numbers
import time:      2715 |       4517 |                 _decimal
import time:      1162 |       5679 |               decimal
import time:        38 |         38 |                   _bisect
import time:      1061 |       1099 |                 bisect
import time:        33 |         33 |                 _random
import time:        24 |         24 |                 _sha512
import time:      1282 |       2436 |               random
import time:     12525 |      12525 |                 hydra._internal.grammar
import time:     12295 |      24819 |               hydra._internal.grammar.utils
import time:     16769 |      63809 |             hydra.core.override_parser.types
import time:      8747 |      72556 |           hydra._internal.defaults_list
import time:      7728 |       7728 |             hydra._internal.grammar.grammar_functions
import time:      9410 |       9410 |             hydra._internal.grammar.functions
import time:     12399 |      12399 |                   hydra.grammar
import time:     16877 |      29275 |                 hydra.grammar.gen
import time:     15341 |      44616 |               hydra.grammar.gen.OverrideLexer
import time:      7686 |       7686 |               hydra.grammar.gen.OverrideParser
import time:      8092 |       8092 |               hydra.grammar.gen.OverrideParserVisitor
import time:     10625 |      71016 |             hydra.core.override_parser.overrides_visitor
import time:      8661 |      96814 |           hydra.core.override_parser.overrides_parser
import time:      8774 |     187829 |         hydra._internal.config_loader_impl
import time:      5558 |     248081 |       hydra._internal.hydra
import time:      5427 |     253508 |     hydra.core.global_hydra
import time:     17741 |     271249 |   hydra.compose
import time:      4287 |       4287 |   hydra.initialize
import time:     15879 |    2155449 | hydra
import time:      6774 |       6774 |     lightning.__about__
import time:      5726 |       5726 |     lightning.__version__
import time:      7281 |       7281 |               lightning_utilities.__about__
import time:     18533 |      18533 |                   lightning_utilities.core.apply_func
import time:      5534 |       5534 |                     typing_extensions
import time:      6566 |      12100 |                   lightning_utilities.core.enums
import time:       174 |        174 |                         _csv
import time:      1367 |       1541 |                       csv
import time:      1286 |       1286 |                       email
import time:       151 |        151 |                           zlib
import time:       849 |        849 |                             _compression
import time:      1792 |       1792 |                             _bz2
import time:      1192 |       3832 |                           bz2
import time:      1181 |       1181 |                             _lzma
import time:      1058 |       2239 |                           lzma
import time:      5117 |      11337 |                         shutil
import time:      1608 |      12944 |                       zipfile
import time:      1185 |       1185 |                           uu
import time:      1325 |       1325 |                           quopri
import time:      1575 |       1575 |                                 locale
import time:      1129 |       2703 |                               calendar
import time:       407 |       3110 |                             email._parseaddr
import time:       327 |        327 |                               email.base64mime
import time:       349 |        349 |                               email.quoprimime
import time:       521 |        521 |                               email.errors
import time:       392 |        392 |                               email.encoders
import time:       418 |       2004 |                             email.charset
import time:       605 |       5718 |                           email.utils
import time:       707 |        707 |                             email.header
import time:       436 |       1143 |                           email._policybase
import time:       409 |        409 |                           email._encoded_words
import time:       376 |        376 |                           email.iterators
import time:      1195 |      11348 |                         email.message
import time:       303 |        303 |                           importlib.metadata._functools
import time:       401 |        704 |                         importlib.metadata._text
import time:       789 |      12839 |                       importlib.metadata._adapters
import time:       438 |        438 |                       importlib.metadata._meta
import time:       393 |        393 |                       importlib.metadata._collections
import time:       290 |        290 |                       importlib.metadata._itertools
import time:       530 |        530 |                       importlib.abc
import time:      1492 |      31749 |                     importlib.metadata
import time:      5855 |       5855 |                                 sysconfig
import time:      4230 |       4230 |                                   packaging._elffile
import time:      5318 |       9547 |                                 packaging._manylinux
import time:      3973 |       3973 |                                 packaging._musllinux
import time:      5058 |      24432 |                               packaging.tags
import time:      5169 |      29600 |                             packaging.utils
import time:      6774 |      36373 |                           packaging.specifiers
import time:      7527 |      43900 |                         packaging._tokenizer
import time:      4803 |      48702 |                       packaging._parser
import time:      4760 |       4760 |                       packaging.markers
import time:      5828 |      59288 |                     packaging.requirements
import time:      6525 |      97561 |                   lightning_utilities.core.imports
import time:       429 |        429 |                           unittest.util
import time:       698 |       1127 |                         unittest.result
import time:      1594 |       1594 |                           difflib
import time:      1242 |       1242 |                           pprint
import time:       996 |       3831 |                         unittest.case
import time:       445 |        445 |                         unittest.suite
import time:       660 |        660 |                         unittest.loader
import time:       373 |        373 |                             unittest.signals
import time:       366 |        738 |                           unittest.runner
import time:       349 |       1087 |                         unittest.main
import time:      1027 |       8175 |                       unittest
import time:       867 |        867 |                             concurrent
import time:       853 |        853 |                             concurrent.futures._base
import time:       581 |       2300 |                           concurrent.futures
import time:      5046 |       5046 |                             _ssl
import time:      3506 |       8551 |                           ssl
import time:       443 |        443 |                           asyncio.constants
import time:       323 |        323 |                               asyncio.format_helpers
import time:       318 |        641 |                             asyncio.base_futures
import time:       263 |        263 |                             asyncio.log
import time:       454 |       1357 |                           asyncio.coroutines
import time:       869 |        869 |                               _contextvars
import time:       756 |       1625 |                             contextvars
import time:       326 |        326 |                               asyncio.exceptions
import time:       314 |        314 |                               asyncio.base_tasks
import time:      1206 |       1844 |                             _asyncio
import time:       580 |       4049 |                           asyncio.events
import time:       333 |        333 |                           asyncio.futures
import time:       361 |        361 |                           asyncio.protocols
import time:       371 |        371 |                             asyncio.transports
import time:       486 |        856 |                           asyncio.sslproto
import time:       259 |        259 |                               asyncio.mixins
import time:      1028 |       1028 |                               asyncio.tasks
