import time: self [us] | cumulative | imported package
import time:     13637 |      13637 |                 antlr4.tree.TokenTagToken
import time:      7993 |      64086 |               antlr4.tree.ParseTreePatternMatcher
import time:     10418 |     119987 |             antlr4.Parser
import time:     14412 |      14412 |             antlr4.dfa.DFA
import time:     13718 |      13718 |               antlr4.atn.PredictionMode
import time:     16101 |      29818 |             antlr4.atn.ParserATNSimulator
import time:     13882 |      13882 |             antlr4.error.DiagnosticErrorListener
import time:     16449 |     628004 |           antlr4
import time:     16038 |      16038 |               yaml.error
import time:      9036 |       9036 |               yaml.tokens
import time:     10304 |      10304 |               yaml.events
import time:      9382 |       9382 |               yaml.nodes
import time:     12114 |      12114 |                 yaml.reader
import time:      9597 |       9597 |                 yaml.scanner
import time:      9819 |       9819 |                 yaml.parser
import time:     10490 |      10490 |                 yaml.composer
import time:       122 |        122 |                     _datetime
import time:      1671 |       1793 |                   datetime
import time:        79 |         79 |                     binascii
import time:      1095 |       1174 |                   base64
import time:     10514 |      13480 |                 yaml.constructor
import time:     11185 |      11185 |                 yaml.resolver
import time:     10430 |      77110 |               yaml.loader
import time:      8958 |       8958 |                 yaml.emitter
import time:     11878 |      11878 |                 yaml.serializer
import time:      9832 |       9832 |                 yaml.representer
import time:     10471 |      41137 |               yaml.dumper
import time:       343 |        343 |                   yaml.yaml
import time:      8287 |       8629 |                 yaml._yaml
import time:     12100 |      20729 |               yaml.cyaml
import time:     16969 |     200702 |             yaml
import time:      4602 |       4602 |             omegaconf.errors
import time:      7729 |       7729 |                     omegaconf.grammar
import time:     15076 |      22804 |                   omegaconf.grammar.gen
import time:     14678 |      37482 |                 omegaconf.grammar.gen.OmegaConfGrammarLexer
import time:      8468 |       8468 |                 omegaconf.grammar.gen.OmegaConfGrammarParser
import time:      8048 |       8048 |                 omegaconf.grammar.gen.OmegaConfGrammarParserVisitor
import time:      5774 |      59771 |               omegaconf.grammar_visitor
import time:      6040 |      65811 |             omegaconf.grammar_parser
import time:      3265 |       3265 |                 attr._compat
import time:      1128 |       1128 |                   __future__
import time:        57 |         57 |                   unicodedata
import time:      3739 |       3739 |                   attr._config
import time:      4953 |       4953 |                     attr.exceptions
import time:      6027 |      10979 |                   attr.setters
import time:      5980 |      21881 |                 attr._make
import time:      7241 |      32386 |               attr.converters
import time:      5113 |       5113 |               attr.filters
import time:      7957 |       7957 |               attr.validators
import time:      4921 |       4921 |               attr._cmp
import time:      5808 |       5808 |               attr._funcs
import time:      6690 |       6690 |               attr._next_gen
import time:      7036 |       7036 |               attr._version_info
import time:      5787 |      75694 |             attr
import time:     12101 |     358908 |           omegaconf._utils
import time:     17508 |    1014612 |         omegaconf.base
import time:      4517 |       4517 |           omegaconf.basecontainer
import time:      4789 |       4789 |           omegaconf.nodes
import time:      5446 |      14751 |         omegaconf.dictconfig
import time:      5462 |       5462 |         omegaconf.listconfig
import time:     11634 |      11634 |               omegaconf.resolvers.oc.dict
import time:     12336 |      23969 |             omegaconf.resolvers.oc
import time:      7846 |      31815 |           omegaconf.resolvers
import time:      4874 |      36689 |         omegaconf.omegaconf
import time:      3922 |       3922 |         omegaconf.version
import time:     18099 |    1093532 |       omegaconf
import time:      1513 |       1513 |           gettext
import time:      1783 |       3296 |         argparse
import time:      9241 |       9241 |             hydra.core
import time:     10251 |      19491 |           hydra.core.config_search_path
import time:      5109 |      24600 |         hydra._internal.config_search_path_impl
import time:      5414 |       5414 |               packaging
import time:      3991 |       3991 |               packaging._structures
import time:     10707 |      20110 |             packaging.version
import time:      4464 |       4464 |               hydra.errors
import time:      6276 |      10739 |             hydra._internal.deprecation_warning
import time:      5248 |       5248 |             hydra.core.singleton
import time:      5075 |      41170 |           hydra.version
import time:      6095 |       6095 |                 hydra.core.object_type
import time:      7270 |       7270 |                   hydra.plugins
import time:      5989 |       5989 |                   hydra.core.default_element
import time:      9544 |       9544 |                   hydra.plugins.plugin
import time:     10406 |      33208 |                 hydra.plugins.config_source
import time:      5297 |      44599 |               hydra.core.config_store
import time:      4749 |       4749 |               hydra.types
import time:     19501 |      68848 |             hydra.conf
import time:      6961 |      75808 |           hydra.core.hydra_config
import time:      8141 |     125118 |         hydra.core.utils
import time:      6208 |     159220 |       hydra._internal.utils
import time:     21415 |    1324055 |     hydra._internal.instantiate._instantiate2
import time:     14986 |    1382996 |   hydra.utils
import time:      4276 |       4276 |   hydra.main
import time:      4990 |       4990 |         hydra.core.config_loader
import time:       391 |        391 |             importlib._abc
import time:       828 |       1219 |           importlib.util
import time:      1683 |       1683 |           pkgutil
import time:        52 |         52 |             gc
import time:      1087 |       1138 |           timeit
import time:      5866 |       5866 |           hydra._internal.sources_registry
import time:      9025 |       9025 |           hydra.plugins.completion_plugin
import time:      6565 |       6565 |           hydra.plugins.launcher
import time:      6430 |       6430 |           hydra.plugins.search_path_plugin
import time:      5173 |       5173 |           hydra.plugins.sweeper
import time:      6785 |      43880 |         hydra.core.plugins
import time:      4926 |       4926 |         hydra._internal.callbacks
import time:      5866 |       5866 |           hydra._internal.config_repository
import time:      9250 |       9250 |               hydra.core.override_parser
import time:      1054 |       1054 |                   numbers
import time:      2515 |       3568 |                 _decimal
import time:      1234 |       4801 |               decimal
import time:        34 |         34 |                   _bisect
import time:       780 |        813 |                 bisect
import time:        29 |         29 |                 _random
import time:        26 |         26 |                 _sha512
import time:      1025 |       1891 |               random
import time:      9693 |       9693 |                 hydra._internal.grammar
import time:      7451 |      17143 |               hydra._internal.grammar.utils
import time:     16577 |      49661 |             hydra.core.override_parser.types
import time:      6593 |      56254 |           hydra._internal.defaults_list
import time:      4951 |       4951 |             hydra._internal.grammar.grammar_functions
import time:      8768 |       8768 |             hydra._internal.grammar.functions
import time:      5330 |       5330 |                   hydra.grammar
import time:     11576 |      16906 |                 hydra.grammar.gen
import time:     12881 |      29786 |               hydra.grammar.gen.OverrideLexer
import time:     10507 |      10507 |               hydra.grammar.gen.OverrideParser
import time:     11598 |      11598 |               hydra.grammar.gen.OverrideParserVisitor
import time:      5568 |      57458 |             hydra.core.override_parser.overrides_visitor
import time:      4846 |      76022 |           hydra.core.override_parser.overrides_parser
import time:      7070 |     145210 |         hydra._internal.config_loader_impl
import time:      5486 |     204490 |       hydra._internal.hydra
import time:      6835 |     211325 |     hydra.core.global_hydra
import time:      4376 |     215700 |   hydra.compose
import time:      4652 |       4652 |   hydra.initialize
import time:     15719 |    1623340 | hydra
import time:      6852 |       6852 |     lightning.__about__
import time:      7471 |       7471 |     lightning.__version__
import time:      6537 |       6537 |               lightning_utilities.__about__
import time:      9090 |       9090 |                   lightning_utilities.core.apply_func
import time:      6647 |       6647 |                     typing_extensions
import time:      5898 |      12545 |                   lightning_utilities.core.enums
import time:       164 |        164 |                         _csv
import time:      1182 |       1345 |                       csv
import time:      1411 |       1411 |                       email
import time:       147 |        147 |                           zlib
import time:      1032 |       1032 |                             _compression
import time:      1815 |       1815 |                             _bz2
import time:      1055 |       3901 |                           bz2
import time:      1175 |       1175 |                             _lzma
import time:      1229 |       2403 |                           lzma
import time:      1356 |       7805 |                         shutil
import time:      1495 |       9300 |                       zipfile
import time:       824 |        824 |                           uu
import time:       928 |        928 |                           quopri
import time:      1312 |       1312 |                                 locale
import time:      1172 |       2484 |                               calendar
import time:       399 |       2883 |                             email._parseaddr
import time:       364 |        364 |                               email.base64mime
import time:       351 |        351 |                               email.quoprimime
import time:       545 |        545 |                               email.errors
import time:       402 |        402 |                               email.encoders
import time:       443 |       2102 |                             email.charset
import time:       838 |       5822 |                           email.utils
import time:       801 |        801 |                             email.header
import time:       653 |       1453 |                           email._policybase
import time:       486 |        486 |                           email._encoded_words
import time:       352 |        352 |                           email.iterators
import time:       940 |      10802 |                         email.message
import time:       276 |        276 |                           importlib.metadata._functools
import time:       351 |        626 |                         importlib.metadata._text
import time:       674 |      12100 |                       importlib.metadata._adapters
import time:       456 |        456 |                       importlib.metadata._meta
import time:       393 |        393 |                       importlib.metadata._collections
import time:       276 |        276 |                       importlib.metadata._itertools
import time:       631 |        631 |                       importlib.abc
import time:      1471 |      27380 |                     importlib.metadata
import time:      5305 |       5305 |                                 sysconfig
import time:      4494 |       4494 |                                   packaging._elffile
import time:      4007 |       8500 |                                 packaging._manylinux
import time:     10478 |      10478 |                                 packaging._musllinux
import time:      5348 |      29630 |                               packaging.tags
import time:      6032 |      35662 |                             packaging.utils
