import time: self [us] | cumulative | imported package
import time:       110 |        110 |   _io
import time:        25 |         25 |   marshal
import time:       230 |        230 |   posix
import time:       395 |        758 | _frozen_importlib_external
import time:        80 |         80 |   time
import time:       105 |        185 | zipimport
import time:        79 |         79 |     _codecs
import time:       288 |        366 |   codecs
import time:       262 |        262 |   encodings.aliases
import time:       333 |        961 | encodings
import time:       119 |        119 | encodings.utf_8
import time:        51 |         51 | _signal
import time:        25 |         25 |     _abc
import time:       132 |        157 |   abc
import time:       164 |        320 | io
import time:        29 |         29 |       _stat
import time:       122 |        150 |     stat
import time:       595 |        595 |     _collections_abc
import time:        97 |         97 |       genericpath
import time:       186 |        282 |     posixpath
import time:       468 |       1494 |   os
import time:       101 |        101 |   _sitebuiltins
import time:      7283 |       7283 |   _virtualenv
import time:      5407 |       5407 |   _distutils_hack
import time:      4585 |       4585 |     apport_python_hook
import time:       274 |       4858 |   sitecustomize
import time:     78822 |      97963 | site
import time:       880 |        880 |       types
import time:      1263 |       2143 |     enum
import time:        65 |         65 |       _sre
import time:       722 |        722 |         sre_constants
import time:      1401 |       2123 |       sre_parse
import time:      1035 |       3221 |     sre_compile
import time:        72 |         72 |         itertools
import time:       743 |        743 |         keyword
import time:        49 |         49 |           _operator
import time:       800 |        848 |         operator
import time:       780 |        780 |         reprlib
import time:        50 |         50 |         _collections
import time:      1118 |       3608 |       collections
import time:        37 |         37 |       _functools
import time:      1048 |       4692 |     functools
import time:        48 |         48 |     _locale
import time:       816 |        816 |     copyreg
import time:      1121 |      12039 |   re
import time:       879 |        879 |         token
import time:      1773 |       2652 |       tokenize
import time:       578 |       3230 |     linecache
import time:       891 |       4121 |   traceback
import time:       901 |        901 |   warnings
import time:       667 |        667 |     _weakrefset
import time:      1000 |       1667 |   weakref
import time:       124 |        124 |   collections.abc
import time:        33 |         33 |     _string
import time:      1006 |       1039 |   string
import time:       878 |        878 |   threading
import time:        34 |         34 |   atexit
import time:      4161 |      24960 | logging
import time:        40 |         40 | math
import time:      1149 |       1149 | signal
import time:        70 |         70 |       errno
import time:       128 |        128 |           _socket
import time:        61 |         61 |             select
import time:      2009 |       2069 |           selectors
import time:        69 |         69 |           array
import time:      1992 |       4257 |         socket
import time:        63 |         63 |             _struct
import time:       712 |        775 |           struct
import time:       787 |        787 |           _compat_pickle
import time:        79 |         79 |           _pickle
import time:      2289 |       2289 |               org
import time:        28 |       2316 |             org.python
import time:         9 |       2325 |           org.python.core
import time:      1412 |       5376 |         pickle
import time:        31 |         31 |             _heapq
import time:       636 |        666 |           heapq
import time:       768 |        768 |           _queue
import time:       870 |       2303 |         queue
import time:      2078 |       2078 |               org
import time:        23 |       2100 |             org.python
import time:        12 |       2112 |           org.python.core
import time:       842 |       2954 |         copy
import time:       472 |      15360 |       logging.handlers
import time:      1590 |       1590 |       socketserver
import time:      1495 |      18513 |     logging.config
import time:       682 |        682 |       fnmatch
import time:      2319 |       2319 |         _winapi
import time:      2420 |       2420 |         nt
import time:      2326 |       2326 |         nt
import time:      2104 |       2104 |         nt
import time:      2125 |       2125 |         nt
import time:       888 |      12179 |       ntpath
import time:       880 |        880 |         urllib
import time:      2513 |       2513 |         ipaddress
import time:       872 |       4263 |       urllib.parse
import time:      1443 |      18566 |     pathlib
import time:      1038 |       1038 |       contextlib
import time:      1862 |       2900 |     typing
import time:     18819 |      18819 |         hydra._internal
import time:     28118 |      46936 |       hydra._internal.instantiate
import time:      1379 |       1379 |       textwrap
import time:       535 |        535 |                 _ast
import time:      1182 |       1717 |               ast
import time:       710 |        710 |                   _opcode
import time:       811 |       1521 |                 opcode
import time:      1437 |       2957 |               dis
import time:       916 |        916 |                 importlib
import time:       165 |       1081 |               importlib.machinery
import time:      1657 |       7410 |             inspect
import time:      1017 |       8426 |           dataclasses
import time:     14262 |      14262 |             antlr4.Token
import time:     24060 |      24060 |             antlr4.InputStream
import time:     16499 |      16499 |             antlr4.FileStream
import time:      8816 |       8816 |             antlr4.StdinStream
import time:     22200 |      22200 |                 antlr4.error
import time:     14750 |      14750 |                       antlr4.tree
import time:     17978 |      32727 |                     antlr4.tree.Tree
import time:     10200 |      10200 |                       antlr4.Utils
import time:     10725 |      20924 |                     antlr4.tree.Trees
import time:      9613 |      63264 |                   antlr4.RuleContext
import time:     11787 |      75050 |                 antlr4.ParserRuleContext
import time:     10613 |      10613 |                   antlr4.error.ErrorListener
import time:     10513 |      21126 |                 antlr4.Recognizer
import time:     25287 |     143662 |               antlr4.error.Errors
import time:     15587 |     159248 |             antlr4.BufferedTokenStream
import time:      8456 |       8456 |                 antlr4.CommonTokenFactory
import time:     23040 |      23040 |                   antlr4.atn
import time:      8648 |       8648 |                       antlr4.IntervalSet
import time:     10571 |      10571 |                       antlr4.atn.ATNType
import time:     10415 |      10415 |                           antlr4.atn.SemanticContext
import time:     10864 |      21279 |                         antlr4.atn.Transition
import time:     12177 |      33456 |                       antlr4.atn.ATNState
import time:     12267 |      64940 |                     antlr4.atn.ATN
import time:     12376 |      77315 |                   antlr4.PredictionContext
import time:      9254 |       9254 |                       antlr4.atn.LexerAction
import time:      8007 |      17260 |                     antlr4.atn.LexerActionExecutor
import time:      9903 |      27162 |                   antlr4.atn.ATNConfig
import time:     34958 |      34958 |                     antlr4.atn.ATNConfigSet
import time:     25006 |      25006 |                       antlr4.dfa
import time:     27761 |      52766 |                     antlr4.dfa.DFAState
import time:     11796 |      99519 |                   antlr4.atn.ATNSimulator
import time:     23210 |     250244 |                 antlr4.atn.LexerATNSimulator
import time:      8802 |     267501 |               antlr4.Lexer
import time:     12592 |     280093 |             antlr4.CommonTokenStream
import time:     11530 |      11530 |               antlr4.error.ErrorStrategy
import time:        51 |         51 |                       fcntl
import time:      2214 |       2214 |                       msvcrt
import time:        38 |         38 |                       _posixsubprocess
import time:       993 |       3294 |                     subprocess
import time:      1818 |       5112 |                   platform
import time:       726 |        726 |                   _uuid
import time:       982 |       6819 |                 uuid
import time:     10602 |      10602 |                 antlr4.atn.ATNDeserializationOptions
import time:     12205 |      29625 |               antlr4.atn.ATNDeserializer
import time:     10554 |      10554 |                 antlr4.ListTokenSource
import time:     10202 |      10202 |                 antlr4.tree.Chunk
import time:     11306 |      11306 |                 antlr4.tree.RuleTagToken
import time:     10904 |      10904 |                 antlr4.tree.TokenTagToken
import time:     10521 |      53484 |               antlr4.tree.ParseTreePatternMatcher
import time:      9453 |     104091 |             antlr4.Parser
import time:      9411 |       9411 |             antlr4.dfa.DFA
import time:      7479 |       7479 |               antlr4.atn.PredictionMode
import time:      9990 |      17468 |             antlr4.atn.ParserATNSimulator
import time:      9877 |       9877 |             antlr4.error.DiagnosticErrorListener
import time:     14158 |     657977 |           antlr4
import time:     33233 |      33233 |               yaml.error
import time:     14634 |      14634 |               yaml.tokens
import time:     14818 |      14818 |               yaml.events
import time:     14064 |      14064 |               yaml.nodes
import time:     17090 |      17090 |                 yaml.reader
import time:     13275 |      13275 |                 yaml.scanner
import time:     20381 |      20381 |                 yaml.parser
import time:     16594 |      16594 |                 yaml.composer
import time:       129 |        129 |                     _datetime
import time:      1354 |       1482 |                   datetime
import time:       126 |        126 |                     binascii
import time:      1331 |       1457 |                   base64
import time:     17017 |      19956 |                 yaml.constructor
import time:     15094 |      15094 |                 yaml.resolver
import time:     20933 |     123319 |               yaml.loader
import time:     12297 |      12297 |                 yaml.emitter
import time:     13217 |      13217 |                 yaml.serializer
import time:     11682 |      11682 |                 yaml.representer
import time:     16602 |      53797 |               yaml.dumper
import time:       281 |        281 |                   yaml.yaml
import time:     10072 |      10352 |                 yaml._yaml
import time:     14508 |      24860 |               yaml.cyaml
import time:     40676 |     319397 |             yaml
import time:      5819 |       5819 |             omegaconf.errors
import time:     10509 |      10509 |                     omegaconf.grammar
import time:     20540 |      31048 |                   omegaconf.grammar.gen
import time:     20849 |      51896 |                 omegaconf.grammar.gen.OmegaConfGrammarLexer
import time:     13026 |      13026 |                 omegaconf.grammar.gen.OmegaConfGrammarParser
import time:      9609 |       9609 |                 omegaconf.grammar.gen.OmegaConfGrammarParserVisitor
import time:      7449 |      81978 |               omegaconf.grammar_visitor
import time:      7035 |      89013 |             omegaconf.grammar_parser
import time:      5682 |       5682 |                 attr._compat
import time:       888 |        888 |                   __future__
import time:        65 |         65 |                   unicodedata
import time:      5774 |       5774 |                   attr._config
import time:      6038 |       6038 |                     attr.exceptions
import time:      5715 |      11753 |                   attr.setters
import time:      7429 |      25906 |                 attr._make
import time:      8170 |      39757 |               attr.converters
import time:      6551 |       6551 |               attr.filters
import time:      9269 |       9269 |               attr.validators
import time:      8258 |       8258 |               attr._cmp
import time:      7626 |       7626 |               attr._funcs
import time:      9444 |       9444 |               attr._next_gen
import time:      7370 |       7370 |               attr._version_info
import time:     10246 |      98516 |             attr
import time:      8518 |     521261 |           omegaconf._utils
import time:     22407 |    1210070 |         omegaconf.base
import time:      5934 |       5934 |           omegaconf.basecontainer
import time:      7627 |       7627 |           omegaconf.nodes
import time:      7694 |      21255 |         omegaconf.dictconfig
import time:      5625 |       5625 |         omegaconf.listconfig
import time:     14309 |      14309 |               omegaconf.resolvers.oc.dict
import time:     17337 |      31646 |             omegaconf.resolvers.oc
import time:     10027 |      41672 |           omegaconf.resolvers
import time:      7482 |      49154 |         omegaconf.omegaconf
import time:      6338 |       6338 |         omegaconf.version
import time:     15092 |    1307531 |       omegaconf
import time:      1419 |       1419 |           gettext
import time:      1347 |       2765 |         argparse
import time:     10617 |      10617 |             hydra.core
import time:     10478 |      21094 |           hydra.core.config_search_path
import time:      7236 |      28329 |         hydra._internal.config_search_path_impl
import time:      5979 |       5979 |               packaging
import time:      4914 |       4914 |               packaging._structures
import time:      8679 |      19570 |             packaging.version
import time:      5529 |       5529 |               hydra.errors
import time:      6920 |      12449 |             hydra._internal.deprecation_warning
import time:      6612 |       6612 |             hydra.core.singleton
import time:      5235 |      43864 |           hydra.version
import time:     16160 |      16160 |                 hydra.core.object_type
import time:     10105 |      10105 |                   hydra.plugins
import time:     10118 |      10118 |                   hydra.core.default_element
import time:      6957 |       6957 |                   hydra.plugins.plugin
import time:     13064 |      40243 |                 hydra.plugins.config_source
import time:      6364 |      62765 |               hydra.core.config_store
import time:      7259 |       7259 |               hydra.types
import time:     21667 |      91691 |             hydra.conf
import time:      5547 |      97238 |           hydra.core.hydra_config
import time:      6539 |     147639 |         hydra.core.utils
import time:      8598 |     187330 |       hydra._internal.utils
import time:     22578 |    1565753 |     hydra._internal.instantiate._instantiate2
import time:     21607 |    1627335 |   hydra.utils
import time:      4917 |       4917 |   hydra.main
import time:      5910 |       5910 |         hydra.core.config_loader
import time:       109 |        109 |             importlib._abc
import time:       333 |        442 |           importlib.util
import time:      1274 |       1274 |           pkgutil
import time:        50 |         50 |             gc
import time:       875 |        924 |           timeit
import time:      7335 |       7335 |           hydra._internal.sources_registry
import time:      5479 |       5479 |           hydra.plugins.completion_plugin
import time:      5588 |       5588 |           hydra.plugins.launcher
import time:      7673 |       7673 |           hydra.plugins.search_path_plugin
import time:      6742 |       6742 |           hydra.plugins.sweeper
import time:     10341 |      45792 |         hydra.core.plugins
import time:      6650 |       6650 |         hydra._internal.callbacks
import time:      6254 |       6254 |           hydra._internal.config_repository
import time:     10385 |      10385 |               hydra.core.override_parser
import time:       836 |        836 |                   numbers
import time:      1198 |       2033 |                 _decimal
import time:       707 |       2740 |               decimal
import time:        41 |         41 |                   _bisect
import time:       780 |        821 |                 bisect
import time:        32 |         32 |                 _random
import time:        26 |         26 |                 _sha512
import time:      1465 |       2342 |               random
import time:     10271 |      10271 |                 hydra._internal.grammar
import time:     11409 |      21680 |               hydra._internal.grammar.utils
import time:     15015 |      52160 |             hydra.core.override_parser.types
import time:      9164 |      61324 |           hydra._internal.defaults_list
import time:      7102 |       7102 |             hydra._internal.grammar.grammar_functions
import time:      7773 |       7773 |             hydra._internal.grammar.functions
import time:      5103 |       5103 |                   hydra.grammar
import time:      9581 |      14683 |                 hydra.grammar.gen
import time:     10503 |      25186 |               hydra.grammar.gen.OverrideLexer
import time:      7248 |       7248 |               hydra.grammar.gen.OverrideParser
import time:      6609 |       6609 |               hydra.grammar.gen.OverrideParserVisitor
import time:      7664 |      46705 |             hydra.core.override_parser.overrides_visitor
import time:      6992 |      68571 |           hydra.core.override_parser.overrides_parser
import time:      6270 |     142416 |         hydra._internal.config_loader_impl
import time:      5649 |     206414 |       hydra._internal.hydra
import time:      7419 |     213833 |     hydra.core.global_hydra
import time:      5001 |     218833 |   hydra.compose
import time:      5622 |       5622 |   hydra.initialize
import time:     17527 |    1874233 | hydra
import time:      6023 |       6023 |     lightning.__about__
import time:      4248 |       4248 |     lightning.__version__
import time:      9411 |       9411 |               lightning_utilities.__about__
import time:      7860 |       7860 |                   lightning_utilities.core.apply_func
import time:      6339 |       6339 |                     typing_extensions
import time:      6043 |      12381 |                   lightning_utilities.core.enums
import time:       144 |        144 |                         _csv
import time:       860 |       1003 |                       csv
import time:       956 |        956 |                       email
import time:       119 |        119 |                           zlib
import time:       560 |        560 |                             _compression
import time:      1011 |       1011 |                             _bz2
import time:       828 |       2398 |                           bz2
import time:       874 |        874 |                             _lzma
import time:       793 |       1666 |                           lzma
import time:       894 |       5075 |                         shutil
import time:      1337 |       6412 |                       zipfile
import time:       574 |        574 |                           uu
import time:       724 |        724 |                           quopri
import time:      1098 |       1098 |                                 locale
import time:       843 |       1940 |                               calendar
import time:       146 |       2085 |                             email._parseaddr
import time:        73 |         73 |                               email.base64mime
import time:       131 |        131 |                               email.quoprimime
import time:       293 |        293 |                               email.errors
import time:        75 |         75 |                               email.encoders
import time:       146 |        717 |                             email.charset
import time:       398 |       3199 |                           email.utils
import time:       404 |        404 |                             email.header
import time:       220 |        624 |                           email._policybase
import time:       190 |        190 |                           email._encoded_words
import time:        84 |         84 |                           email.iterators
import time:       413 |       5805 |                         email.message
import time:        61 |         61 |                           importlib.metadata._functools
import time:       109 |        170 |                         importlib.metadata._text
import time:       294 |       6268 |                       importlib.metadata._adapters
import time:       209 |        209 |                       importlib.metadata._meta
import time:       180 |        180 |                       importlib.metadata._collections
import time:        63 |         63 |                       importlib.metadata._itertools
import time:       343 |        343 |                       importlib.abc
import time:      1001 |      16433 |                     importlib.metadata
import time:      5399 |       5399 |                                 sysconfig
import time:      3979 |       3979 |                                   packaging._elffile
import time:      4064 |       8043 |                                 packaging._manylinux
import time:      3933 |       3933 |                                 packaging._musllinux
import time:      5176 |      22550 |                               packaging.tags
import time:      5719 |      28269 |                             packaging.utils
import time:      7326 |      35594 |                           packaging.specifiers
import time:     13253 |      48847 |                         packaging._tokenizer
import time:      6338 |      55185 |                       packaging._parser
import time:      3361 |       3361 |                       packaging.markers
import time:      4222 |      62767 |                     packaging.requirements
import time:      5823 |      85021 |                   lightning_utilities.core.imports
import time:       157 |        157 |                           unittest.util
import time:       207 |        363 |                         unittest.result
import time:       811 |        811 |                           difflib
import time:       681 |        681 |                           pprint
import time:       610 |       2102 |                         unittest.case
import time:       167 |        167 |                         unittest.suite
import time:       361 |        361 |                         unittest.loader
import time:        75 |         75 |                             unittest.signals
import time:       147 |        222 |                           unittest.runner
import time:       142 |        364 |                         unittest.main
import time:       478 |       3832 |                       unittest
import time:      1135 |       1135 |                             concurrent
import time:       458 |        458 |                             concurrent.futures._base
import time:       211 |       1802 |                           concurrent.futures
import time:      1646 |       1646 |                             _ssl
import time:      2683 |       4328 |                           ssl
import time:       365 |        365 |                           asyncio.constants
import time:       110 |        110 |                               asyncio.format_helpers
import time:       102 |        212 |                             asyncio.base_futures
import time:       107 |        107 |                             asyncio.log
import time:       184 |        502 |                           asyncio.coroutines
import time:       498 |        498 |                               _contextvars
import time:      1476 |       1974 |                             contextvars
import time:       148 |        148 |                               asyncio.exceptions
import time:        96 |         96 |                               asyncio.base_tasks
import time:       739 |        982 |                             _asyncio
import time:       352 |       3307 |                           asyncio.events
import time:       254 |        254 |                           asyncio.futures
import time:       293 |        293 |                           asyncio.protocols
import time:       196 |        196 |                             asyncio.transports
import time:       216 |        412 |                           asyncio.sslproto
import time:        75 |         75 |                               asyncio.mixins
import time:       751 |        751 |                               asyncio.tasks
import time:       224 |       1049 |                             asyncio.locks
import time:       256 |       1305 |                           asyncio.staggered
import time:       196 |        196 |                           asyncio.trsock
import time:       712 |      13471 |                         asyncio.base_events
import time:       167 |        167 |                         asyncio.runners
import time:       209 |        209 |                         asyncio.queues
import time:       323 |        323 |                         asyncio.streams
import time:       168 |        168 |                         asyncio.subprocess
import time:        78 |         78 |                         asyncio.threads
import time:       146 |        146 |                           asyncio.base_subprocess
import time:       328 |        328 |                           asyncio.selector_events
import time:       428 |        902 |                         asyncio.unix_events
import time:      1453 |      16767 |                       asyncio
import time:      1046 |      21645 |                     unittest.mock
import time:      3870 |      25514 |                   lightning_utilities.core.overrides
import time:      4815 |       4815 |                   lightning_utilities.core.rank_zero
import time:      8902 |     144490 |                 lightning_utilities.core
import time:        21 |     144510 |               lightning_utilities.core.apply_func
import time:     10674 |     164594 |             lightning_utilities
import time:        11 |     164604 |           lightning_utilities.core
import time:        18 |     164622 |         lightning_utilities.core.imports
import time:      2310 |       2310 |               _ctypes
import time:       258 |        258 |               ctypes._endian
import time:      1454 |       4021 |             ctypes
import time:      1211 |       1211 |             glob
import time:     12247 |      12247 |             torch._utils
import time:      1030 |       1030 |               tempfile
import time:      8225 |       8225 |                 torch._strobelight
import time:       761 |        761 |                       _json
import time:       326 |       1087 |                     json.scanner
import time:       324 |       1410 |                   json.decoder
import time:       308 |        308 |                   json.encoder
import time:       788 |       2505 |                 json
import time:      8468 |       8468 |                 torch._strobelight.cli_function_profiler
import time:     10663 |      29860 |               torch._strobelight.compile_time_profiler
import time:      5860 |      36749 |             torch._utils_internal
import time:      9318 |       9318 |                   torch._vendor
import time:     13652 |      22970 |                 torch._vendor.packaging
import time:     19130 |      19130 |                 torch._vendor.packaging._structures
import time:     36942 |      79041 |               torch._vendor.packaging.version
import time:      6165 |       6165 |               torch.version
import time:      5485 |      90690 |             torch.torch_version
import time:      1068 |       1068 |             torch._rocm_init
import time:     22360 |      22360 |                     numpy._utils._convertions
import time:     12911 |      35270 |                   numpy._utils
import time:      9540 |      44810 |                 numpy._globals
import time:      7579 |       7579 |                 numpy.exceptions
import time:      7983 |       7983 |                 numpy.version
import time:      1078 |       1078 |                   numpy._distributor_init_local
import time:      8058 |       9136 |                 numpy._distributor_init
import time:     13136 |      13136 |                           numpy._utils._inspect
import time:      4833 |       4833 |                             numpy.core._exceptions
import time:      8417 |       8417 |                             numpy.dtypes
import time:     98611 |     111861 |                           numpy.core._multiarray_umath
import time:     11732 |     136728 |                         numpy.core.overrides
import time:     24237 |     160964 |                       numpy.core.multiarray
import time:      7210 |       7210 |                       numpy.core.umath
import time:     22504 |      22504 |                         numpy.core._string_helpers
import time:      1887 |       1887 |                               pickle5
import time:      7931 |       9818 |                             numpy.compat.py3k
import time:      8379 |      18196 |                           numpy.compat
import time:      4651 |       4651 |                           numpy.core._dtype
import time:      4714 |      27560 |                         numpy.core._type_aliases
import time:     33993 |      84057 |                       numpy.core.numerictypes
import time:      4448 |       4448 |                               numpy.core._ufunc_config
import time:      5876 |      10324 |                             numpy.core._methods
import time:      5340 |      15664 |                           numpy.core.fromnumeric
import time:      5246 |      20909 |                         numpy.core.shape_base
import time:      6995 |       6995 |                         numpy.core.arrayprint
import time:      5916 |       5916 |                         numpy.core._asarray
import time:      6090 |      39908 |                       numpy.core.numeric
import time:      6483 |       6483 |                       numpy.core.defchararray
import time:      4592 |       4592 |                       numpy.core.records
import time:      4148 |       4148 |                       numpy.core.memmap
import time:      5191 |       5191 |                       numpy.core.function_base
import time:      3864 |       3864 |                       numpy.core._machar
import time:      5726 |       5726 |                       numpy.core.getlimits
import time:     13350 |      13350 |                       numpy.core.einsumfunc
import time:      5118 |       5118 |                         numpy.core._multiarray_tests
import time:      9830 |      14947 |                       numpy.core._add_newdocs
import time:      8811 |       8811 |                       numpy.core._add_newdocs_scalars
import time:      7079 |       7079 |                       numpy.core._dtype_ctypes
import time:      7598 |       7598 |                       numpy.core._internal
import time:      4961 |       4961 |                       numpy._pytesttester
import time:     15968 |     394850 |                     numpy.core
import time:        38 |     394888 |                   numpy.core._multiarray_umath
import time:      8185 |     403072 |                 numpy.__config__
import time:     11609 |      11609 |                   numpy.lib.mixins
import time:      5754 |       5754 |                       numpy.lib.ufunclike
import time:      5870 |      11624 |                     numpy.lib.type_check
import time:      9472 |      21095 |                   numpy.lib.scimath
import time:      5952 |       5952 |                               numpy.lib.stride_tricks
import time:      6973 |      12924 |                             numpy.lib.twodim_base
import time:      5175 |       5175 |                             numpy.linalg._umath_linalg
import time:     10774 |      10774 |                               numpy._typing._nested_sequence
import time:      7038 |       7038 |                               numpy._typing._nbit
import time:      7352 |       7352 |                               numpy._typing._char_codes
import time:      8265 |       8265 |                               numpy._typing._scalars
import time:      9085 |       9085 |                               numpy._typing._shape
import time:      9790 |       9790 |                               numpy._typing._dtype_like
import time:     19853 |      19853 |                               numpy._typing._array_like
import time:      8466 |      80621 |                             numpy._typing
import time:     13429 |     112147 |                           numpy.linalg.linalg
import time:      8047 |     120194 |                         numpy.linalg
import time:     11856 |     132049 |                       numpy.matrixlib.defmatrix
import time:     10650 |     142698 |                     numpy.matrixlib
import time:      9143 |       9143 |                       numpy.lib.histograms
import time:     11676 |      20819 |                     numpy.lib.function_base
import time:      5543 |     169059 |                   numpy.lib.index_tricks
import time:      7909 |       7909 |                   numpy.lib.nanfunctions
import time:      9106 |       9106 |                   numpy.lib.shape_base
import time:      6690 |       6690 |                   numpy.lib.polynomial
import time:      8356 |       8356 |                   numpy.lib.utils
import time:      8685 |       8685 |                   numpy.lib.arraysetops
import time:      7083 |       7083 |                     numpy.lib.format
import time:      7993 |       7993 |                     numpy.lib._datasource
import time:      7798 |       7798 |                     numpy.lib._iotools
import time:      9804 |      32676 |                   numpy.lib.npyio
import time:      7165 |       7165 |                   numpy.lib.arrayterator
import time:      6982 |       6982 |                   numpy.lib.arraypad
import time:      5775 |       5775 |                   numpy.lib._version
import time:      9426 |     304528 |                 numpy.lib
import time:      4798 |       4798 |                     numpy.fft._pocketfft_internal
import time:     10054 |      14852 |                   numpy.fft._pocketfft
import time:      4246 |       4246 |                   numpy.fft.helper
import time:     10618 |      29715 |                 numpy.fft
import time:      4921 |       4921 |                     numpy.polynomial.polyutils
import time:      6874 |       6874 |                     numpy.polynomial._polybase
import time:      9727 |      21520 |                   numpy.polynomial.polynomial
import time:      5521 |       5521 |                   numpy.polynomial.chebyshev
import time:      5460 |       5460 |                   numpy.polynomial.legendre
import time:      5671 |       5671 |                   numpy.polynomial.hermite
import time:      6853 |       6853 |                   numpy.polynomial.hermite_e
import time:      6874 |       6874 |                   numpy.polynomial.laguerre
import time:      8612 |      60508 |                 numpy.polynomial
import time:      1281 |       1281 |                           backports_abc
import time:      4793 |       6073 |                         numpy.random._common
import time:      1352 |       1352 |                             _hashlib
import time:        54 |         54 |                               _blake2
import time:       993 |       1046 |                             hashlib
import time:       816 |       3214 |                           hmac
import time:       972 |       4185 |                         secrets
import time:      3589 |      13847 |                       numpy.random.bit_generator
import time:      2799 |       2799 |                       numpy.random._bounded_integers
import time:      2347 |       2347 |                       numpy.random._mt19937
import time:      7210 |      26201 |                     numpy.random.mtrand
import time:      2913 |       2913 |                     numpy.random._philox
import time:      3337 |       3337 |                     numpy.random._pcg64
import time:      2658 |       2658 |                     numpy.random._sfc64
import time:      5675 |       5675 |                     numpy.random._generator
import time:      9045 |      49827 |                   numpy.random._pickle
import time:      7636 |      57463 |                 numpy.random
import time:      4229 |       4229 |                 numpy.ctypeslib
import time:     19826 |      19826 |                   numpy.ma.core
import time:      5934 |       5934 |                   numpy.ma.extras
import time:      7650 |      33409 |                 numpy.ma
import time:     12371 |     974797 |               numpy
import time:   2641505 |    3616301 |             torch._C
import time:      3964 |       3964 |               torch._namedtensor_internals
import time:      5966 |       5966 |               torch.overrides
import time:      4235 |      14163 |             torch._tensor
import time:      4481 |       4481 |               torch.types
import time:      5229 |       9710 |             torch.storage
import time:     11968 |      11968 |               torch.amp.autocast_mode
import time:      5612 |       5612 |               torch.amp.grad_scaler
import time:      7169 |      24748 |             torch.amp
import time:      4334 |       4334 |             torch.random
import time:        61 |         61 |                 pwd
import time:        35 |         35 |                 grp
import time:      1476 |       1571 |               tarfile
import time:      3990 |       3990 |               torch._weights_only_unpickler
import time:      6359 |       6359 |               torch._sources
import time:       985 |        985 |               mmap
import time:      5469 |      18372 |             torch.serialization
import time:      3909 |       3909 |             torch._tensor_str
import time:      7328 |       7328 |               torch.cuda.gds
import time:      5753 |       5753 |               torch.cuda._utils
import time:      5235 |       5235 |               torch.cuda.graphs
import time:      5035 |       5035 |               torch.cuda.streams
import time:       467 |        467 |                 ctypes.util
import time:     10566 |      11033 |               pynvml
import time:      5955 |       5955 |                 torch.cuda._memory_viz
import time:      4976 |      10930 |               torch.cuda.memory
import time:      5026 |       5026 |               torch.cuda.random
import time:     10257 |      10257 |                 torch.cuda.amp.autocast_mode
import time:      7252 |       7252 |                 torch.cuda.amp.common
import time:      5606 |       5606 |                 torch.cuda.amp.grad_scaler
import time:     10675 |      33788 |               torch.cuda.amp
import time:      5668 |       5668 |               torch.cuda.jiterator
import time:      4610 |       4610 |               torch.cuda.nvtx
import time:      4314 |       4314 |               torch.cuda.profiler
import time:      6091 |       6091 |               torch.cuda.sparse
import time:       277 |        277 |                     multiprocessing.process
import time:       445 |        445 |                     multiprocessing.reduction
import time:       461 |       1181 |                   multiprocessing.context
import time:       893 |       2073 |                 multiprocessing
import time:      6929 |       9001 |               torch.cuda.tunable
import time:     47480 |     161284 |             torch.cuda
import time:      4250 |       4250 |                 torch.sparse._semi_structured_conversions
import time:      4751 |       4751 |                 torch.sparse._semi_structured_ops
import time:      8174 |      17174 |               torch.sparse.semi_structured
