import time: self [us] | cumulative | imported package
import time:       128 |        128 |   _io
import time:        30 |         30 |   marshal
import time:       247 |        247 |   posix
import time:       504 |        908 | _frozen_importlib_external
import time:        94 |         94 |   time
import time:       115 |        209 | zipimport
import time:        88 |         88 |     _codecs
import time:       298 |        385 |   codecs
import time:       306 |        306 |   encodings.aliases
import time:       372 |       1062 | encodings
import time:       127 |        127 | encodings.utf_8
import time:        70 |         70 | _signal
import time:        24 |         24 |     _abc
import time:       138 |        161 |   abc
import time:       160 |        321 | io
import time:        42 |         42 |       _stat
import time:       256 |        298 |     stat
import time:       708 |        708 |     _collections_abc
import time:        98 |         98 |       genericpath
import time:       203 |        300 |     posixpath
import time:       651 |       1956 |   os
import time:       104 |        104 |   _sitebuiltins
import time:      5471 |       5471 |   _virtualenv
import time:      5620 |       5620 |   _distutils_hack
import time:      3089 |       3089 |     apport_python_hook
import time:       191 |       3279 |   sitecustomize
import time:     59809 |      76237 | site
import time:       707 |        707 |       types
import time:       966 |       1673 |     enum
import time:        56 |         56 |       _sre
import time:      1226 |       1226 |         sre_constants
import time:      1665 |       2890 |       sre_parse
import time:      1086 |       4031 |     sre_compile
import time:        78 |         78 |         itertools
import time:       794 |        794 |         keyword
import time:        60 |         60 |           _operator
import time:      1237 |       1296 |         operator
import time:      1072 |       1072 |         reprlib
import time:        79 |         79 |         _collections
import time:      1375 |       4691 |       collections
import time:        43 |         43 |       _functools
import time:      1221 |       5955 |     functools
import time:        52 |         52 |     _locale
import time:       723 |        723 |     copyreg
import time:       959 |      13391 |   re
import time:       611 |        611 |         token
import time:      1082 |       1692 |       tokenize
import time:       720 |       2411 |     linecache
import time:      1086 |       3497 |   traceback
import time:       813 |        813 |   warnings
import time:       789 |        789 |     _weakrefset
import time:      1035 |       1824 |   weakref
import time:       170 |        170 |   collections.abc
import time:        35 |         35 |     _string
import time:      1135 |       1169 |   string
import time:      1000 |       1000 |   threading
import time:        41 |         41 |   atexit
import time:      4089 |      25990 | logging
import time:        44 |         44 | math
import time:      1274 |       1274 | signal
import time:        59 |         59 |       errno
import time:       189 |        189 |           _socket
import time:        53 |         53 |             select
import time:      1258 |       1311 |           selectors
import time:        73 |         73 |           array
import time:      1915 |       3487 |         socket
import time:        65 |         65 |             _struct
import time:       942 |       1007 |           struct
import time:      1210 |       1210 |           _compat_pickle
import time:       227 |        227 |           _pickle
import time:     10216 |      10216 |               org
import time:        68 |      10283 |             org.python
import time:        24 |      10307 |           org.python.core
import time:      1995 |      14743 |         pickle
import time:        51 |         51 |             _heapq
import time:      1293 |       1344 |           heapq
import time:      1241 |       1241 |           _queue
import time:      1656 |       4239 |         queue
import time:      4953 |       4953 |               org
import time:        59 |       5011 |             org.python
import time:        32 |       5043 |           org.python.core
import time:      1808 |       6851 |         copy
import time:       630 |      29948 |       logging.handlers
import time:      2187 |       2187 |       socketserver
import time:      1874 |      34067 |     logging.config
import time:      1387 |       1387 |       fnmatch
import time:      4397 |       4397 |         _winapi
import time:      3913 |       3913 |         nt
import time:      4416 |       4416 |         nt
import time:      4249 |       4249 |         nt
import time:      2509 |       2509 |         nt
import time:      1735 |      21218 |       ntpath
import time:      1529 |       1529 |         urllib
import time:      2258 |       2258 |         ipaddress
import time:       950 |       4737 |       urllib.parse
import time:      2227 |      29566 |     pathlib
import time:      1150 |       1150 |       contextlib
import time:      1961 |       3111 |     typing
import time:     22536 |      22536 |         hydra._internal
import time:     43441 |      65977 |       hydra._internal.instantiate
import time:      1289 |       1289 |       textwrap
import time:       536 |        536 |                 _ast
import time:      1282 |       1818 |               ast
import time:       569 |        569 |                   _opcode
import time:       603 |       1171 |                 opcode
import time:       874 |       2045 |               dis
import time:       838 |        838 |                 importlib
import time:       148 |        985 |               importlib.machinery
import time:      1645 |       6492 |             inspect
import time:      1028 |       7519 |           dataclasses
import time:     11680 |      11680 |             antlr4.Token
import time:     10877 |      10877 |             antlr4.InputStream
import time:     36261 |      36261 |             antlr4.FileStream
import time:     11642 |      11642 |             antlr4.StdinStream
import time:     20020 |      20020 |                 antlr4.error
import time:     12436 |      12436 |                       antlr4.tree
import time:     19472 |      31907 |                     antlr4.tree.Tree
import time:      6317 |       6317 |                       antlr4.Utils
import time:      8993 |      15310 |                     antlr4.tree.Trees
import time:      8415 |      55631 |                   antlr4.RuleContext
import time:     10235 |      65866 |                 antlr4.ParserRuleContext
import time:      8385 |       8385 |                   antlr4.error.ErrorListener
import time:     16280 |      24665 |                 antlr4.Recognizer
import time:     24019 |     134568 |               antlr4.error.Errors
import time:      9457 |     144024 |             antlr4.BufferedTokenStream
import time:      6590 |       6590 |                 antlr4.CommonTokenFactory
import time:     22320 |      22320 |                   antlr4.atn
import time:     12421 |      12421 |                       antlr4.IntervalSet
import time:     18079 |      18079 |                       antlr4.atn.ATNType
import time:     10170 |      10170 |                           antlr4.atn.SemanticContext
import time:     14634 |      24803 |                         antlr4.atn.Transition
import time:     13225 |      38027 |                       antlr4.atn.ATNState
import time:     15001 |      83527 |                     antlr4.atn.ATN
import time:     14219 |      97745 |                   antlr4.PredictionContext
import time:      7900 |       7900 |                       antlr4.atn.LexerAction
import time:      8903 |      16802 |                     antlr4.atn.LexerActionExecutor
import time:     12195 |      28996 |                   antlr4.atn.ATNConfig
import time:      8509 |       8509 |                     antlr4.atn.ATNConfigSet
import time:     14564 |      14564 |                       antlr4.dfa
import time:     12252 |      26816 |                     antlr4.dfa.DFAState
import time:     12550 |      47873 |                   antlr4.atn.ATNSimulator
import time:     23249 |     220181 |                 antlr4.atn.LexerATNSimulator
import time:     12839 |     239610 |               antlr4.Lexer
import time:     12632 |     252241 |             antlr4.CommonTokenStream
import time:     11834 |      11834 |               antlr4.error.ErrorStrategy
import time:        59 |         59 |                       fcntl
import time:      2964 |       2964 |                       msvcrt
import time:        50 |         50 |                       _posixsubprocess
import time:      1164 |       4236 |                     subprocess
import time:      1999 |       6234 |                   platform
import time:       879 |        879 |                   _uuid
import time:      1051 |       8163 |                 uuid
import time:     16293 |      16293 |                 antlr4.atn.ATNDeserializationOptions
import time:     14016 |      38472 |               antlr4.atn.ATNDeserializer
import time:     11116 |      11116 |                 antlr4.ListTokenSource
import time:     12654 |      12654 |                 antlr4.tree.Chunk
import time:     11834 |      11834 |                 antlr4.tree.RuleTagToken
import time:     11637 |      11637 |                 antlr4.tree.TokenTagToken
import time:     12383 |      59622 |               antlr4.tree.ParseTreePatternMatcher
import time:     17320 |     127247 |             antlr4.Parser
import time:     11377 |      11377 |             antlr4.dfa.DFA
import time:     10038 |      10038 |               antlr4.atn.PredictionMode
import time:     11116 |      21154 |             antlr4.atn.ParserATNSimulator
import time:      8996 |       8996 |             antlr4.error.DiagnosticErrorListener
import time:     14838 |     650333 |           antlr4
import time:     11399 |      11399 |               yaml.error
import time:      6926 |       6926 |               yaml.tokens
import time:     10292 |      10292 |               yaml.events
import time:      6135 |       6135 |               yaml.nodes
import time:      8742 |       8742 |                 yaml.reader
import time:     12516 |      12516 |                 yaml.scanner
import time:     10949 |      10949 |                 yaml.parser
import time:      6292 |       6292 |                 yaml.composer
import time:       129 |        129 |                     _datetime
import time:      1117 |       1245 |                   datetime
import time:        66 |         66 |                     binascii
import time:      1301 |       1366 |                   base64
import time:     15280 |      17890 |                 yaml.constructor
import time:      9748 |       9748 |                 yaml.resolver
import time:     10303 |      76436 |               yaml.loader
import time:     24838 |      24838 |                 yaml.emitter
import time:     12180 |      12180 |                 yaml.serializer
import time:     10555 |      10555 |                 yaml.representer
import time:      6458 |      54030 |               yaml.dumper
import time:       166 |        166 |                   yaml.yaml
import time:      6604 |       6770 |                 yaml._yaml
import time:     10624 |      17393 |               yaml.cyaml
import time:     14272 |     196881 |             yaml
import time:      4278 |       4278 |             omegaconf.errors
import time:      6798 |       6798 |                     omegaconf.grammar
import time:     13352 |      20150 |                   omegaconf.grammar.gen
import time:     13879 |      34028 |                 omegaconf.grammar.gen.OmegaConfGrammarLexer
import time:      8557 |       8557 |                 omegaconf.grammar.gen.OmegaConfGrammarParser
import time:     11453 |      11453 |                 omegaconf.grammar.gen.OmegaConfGrammarParserVisitor
import time:      4476 |      58512 |               omegaconf.grammar_visitor
import time:      6373 |      64885 |             omegaconf.grammar_parser
import time:      2857 |       2857 |                 attr._compat
import time:       902 |        902 |                   __future__
import time:        55 |         55 |                   unicodedata
import time:      4899 |       4899 |                   attr._config
import time:      5354 |       5354 |                     attr.exceptions
import time:      4206 |       9560 |                   attr.setters
import time:      7198 |      22612 |                 attr._make
import time:      4799 |      30267 |               attr.converters
import time:      4694 |       4694 |               attr.filters
import time:      7237 |       7237 |               attr.validators
import time:      4753 |       4753 |               attr._cmp
import time:      4594 |       4594 |               attr._funcs
import time:      4238 |       4238 |               attr._next_gen
import time:      4809 |       4809 |               attr._version_info
import time:      9881 |      70470 |             attr
import time:      7504 |     344016 |           omegaconf._utils
import time:     16542 |    1018409 |         omegaconf.base
import time:      4548 |       4548 |           omegaconf.basecontainer
import time:      4333 |       4333 |           omegaconf.nodes
import time:      5108 |      13988 |         omegaconf.dictconfig
import time:      6369 |       6369 |         omegaconf.listconfig
import time:     20340 |      20340 |               omegaconf.resolvers.oc.dict
import time:      8987 |      29326 |             omegaconf.resolvers.oc
import time:     10997 |      40323 |           omegaconf.resolvers
import time:      4860 |      45182 |         omegaconf.omegaconf
import time:      4413 |       4413 |         omegaconf.version
import time:     14570 |    1102928 |       omegaconf
import time:      6097 |       6097 |           gettext
import time:      4334 |      10430 |         argparse
import time:      9134 |       9134 |             hydra.core
import time:      9575 |      18708 |           hydra.core.config_search_path
import time:     11743 |      30451 |         hydra._internal.config_search_path_impl
import time:      6571 |       6571 |               packaging
import time:      4411 |       4411 |               packaging._structures
import time:      8868 |      19849 |             packaging.version
import time:      5469 |       5469 |               hydra.errors
import time:      9292 |      14760 |             hydra._internal.deprecation_warning
import time:      7270 |       7270 |             hydra.core.singleton
import time:      4516 |      46394 |           hydra.version
import time:      3971 |       3971 |                 hydra.core.object_type
import time:      6563 |       6563 |                   hydra.plugins
import time:      7238 |       7238 |                   hydra.core.default_element
import time:      4261 |       4261 |                   hydra.plugins.plugin
import time:     14178 |      32240 |                 hydra.plugins.config_source
import time:      5330 |      41539 |               hydra.core.config_store
import time:      4063 |       4063 |               hydra.types
import time:     19743 |      65344 |             hydra.conf
import time:      6050 |      71394 |           hydra.core.hydra_config
import time:      6204 |     123991 |         hydra.core.utils
import time:      5714 |     170584 |       hydra._internal.utils
import time:     24073 |    1364850 |     hydra._internal.instantiate._instantiate2
import time:     13523 |    1445115 |   hydra.utils
import time:      3284 |       3284 |   hydra.main
import time:      5529 |       5529 |         hydra.core.config_loader
import time:        92 |         92 |             importlib._abc
import time:       235 |        326 |           importlib.util
import time:      1153 |       1153 |           pkgutil
import time:       105 |        105 |             gc
import time:      1389 |       1493 |           timeit
import time:      6662 |       6662 |           hydra._internal.sources_registry
import time:      5172 |       5172 |           hydra.plugins.completion_plugin
import time:      7590 |       7590 |           hydra.plugins.launcher
import time:      5313 |       5313 |           hydra.plugins.search_path_plugin
import time:      5953 |       5953 |           hydra.plugins.sweeper
import time:      6519 |      40178 |         hydra.core.plugins
import time:      6691 |       6691 |         hydra._internal.callbacks
import time:      6565 |       6565 |           hydra._internal.config_repository
import time:     10523 |      10523 |               hydra.core.override_parser
import time:      1013 |       1013 |                   numbers
import time:      1033 |       2045 |                 _decimal
import time:       626 |       2670 |               decimal
import time:        39 |         39 |                   _bisect
import time:       950 |        988 |                 bisect
import time:        31 |         31 |                 _random
import time:        24 |         24 |                 _sha512
import time:      1363 |       2404 |               random
import time:      8503 |       8503 |                 hydra._internal.grammar
import time:     11415 |      19917 |               hydra._internal.grammar.utils
import time:     16519 |      52031 |             hydra.core.override_parser.types
import time:      8012 |      60043 |           hydra._internal.defaults_list
import time:      7448 |       7448 |             hydra._internal.grammar.grammar_functions
import time:     10823 |      10823 |             hydra._internal.grammar.functions
import time:      8951 |       8951 |                   hydra.grammar
