import time: self [us] | cumulative | imported package
import time:     16836 |      16836 |                 antlr4.tree.Chunk
import time:     11204 |      11204 |                 antlr4.tree.RuleTagToken
import time:     12264 |      12264 |                 antlr4.tree.TokenTagToken
import time:     27856 |      83397 |               antlr4.tree.ParseTreePatternMatcher
import time:     13159 |     148642 |             antlr4.Parser
import time:     11659 |      11659 |             antlr4.dfa.DFA
import time:     44718 |      44718 |               antlr4.atn.PredictionMode
import time:     10301 |      55018 |             antlr4.atn.ParserATNSimulator
import time:     15871 |      15871 |             antlr4.error.DiagnosticErrorListener
import time:     15493 |     815920 |           antlr4
import time:     16976 |      16976 |               yaml.error
import time:      9213 |       9213 |               yaml.tokens
import time:     11493 |      11493 |               yaml.events
import time:     10798 |      10798 |               yaml.nodes
import time:     12638 |      12638 |                 yaml.reader
import time:      9803 |       9803 |                 yaml.scanner
import time:     10193 |      10193 |                 yaml.parser
import time:     17940 |      17940 |                 yaml.composer
import time:       117 |        117 |                     _datetime
import time:      1227 |       1344 |                   datetime
import time:       106 |        106 |                     binascii
import time:      2637 |       2743 |                   base64
import time:     20200 |      24286 |                 yaml.constructor
import time:     12770 |      12770 |                 yaml.resolver
import time:     10810 |      98438 |               yaml.loader
import time:     11662 |      11662 |                 yaml.emitter
import time:      9535 |       9535 |                 yaml.serializer
import time:     12243 |      12243 |                 yaml.representer
import time:     10868 |      44307 |               yaml.dumper
import time:       287 |        287 |                   yaml.yaml
import time:      9469 |       9756 |                 yaml._yaml
import time:     11534 |      21289 |               yaml.cyaml
import time:     17954 |     230462 |             yaml
import time:      7548 |       7548 |             omegaconf.errors
import time:      7883 |       7883 |                     omegaconf.grammar
import time:     16024 |      23907 |                   omegaconf.grammar.gen
import time:     17955 |      41862 |                 omegaconf.grammar.gen.OmegaConfGrammarLexer
import time:     11814 |      11814 |                 omegaconf.grammar.gen.OmegaConfGrammarParser
import time:      6296 |       6296 |                 omegaconf.grammar.gen.OmegaConfGrammarParserVisitor
import time:      6486 |      66455 |               omegaconf.grammar_visitor
import time:      6072 |      72527 |             omegaconf.grammar_parser
import time:      4421 |       4421 |                 attr._compat
import time:       707 |        707 |                   __future__
import time:        56 |         56 |                   unicodedata
import time:      4957 |       4957 |                   attr._config
import time:      4000 |       4000 |                     attr.exceptions
import time:      4923 |       8922 |                   attr.setters
import time:      6870 |      21511 |                 attr._make
import time:      5958 |      31888 |               attr.converters
import time:      4548 |       4548 |               attr.filters
import time:      7530 |       7530 |               attr.validators
import time:      5301 |       5301 |               attr._cmp
import time:      4227 |       4227 |               attr._funcs
import time:      4815 |       4815 |               attr._next_gen
import time:      4103 |       4103 |               attr._version_info
import time:      7318 |      69727 |             attr
import time:     11430 |     391692 |           omegaconf._utils
import time:     15985 |    1231524 |         omegaconf.base
import time:      4494 |       4494 |           omegaconf.basecontainer
import time:      5109 |       5109 |           omegaconf.nodes
import time:      4638 |      14240 |         omegaconf.dictconfig
import time:      5261 |       5261 |         omegaconf.listconfig
import time:     18620 |      18620 |               omegaconf.resolvers.oc.dict
import time:     24204 |      42824 |             omegaconf.resolvers.oc
import time:      9416 |      52240 |           omegaconf.resolvers
import time:      4835 |      57074 |         omegaconf.omegaconf
import time:      7403 |       7403 |         omegaconf.version
import time:     15712 |    1331211 |       omegaconf
import time:      1368 |       1368 |           gettext
import time:      1171 |       2539 |         argparse
import time:     43150 |      43150 |             hydra.core
import time:     26833 |      69983 |           hydra.core.config_search_path
import time:      8322 |      78305 |         hydra._internal.config_search_path_impl
import time:      7310 |       7310 |               packaging
import time:      5081 |       5081 |               packaging._structures
import time:      7640 |      20030 |             packaging.version
import time:      3780 |       3780 |               hydra.errors
import time:      5918 |       9697 |             hydra._internal.deprecation_warning
import time:      6151 |       6151 |             hydra.core.singleton
import time:      3936 |      39814 |           hydra.version
import time:      7936 |       7936 |                 hydra.core.object_type
import time:      7219 |       7219 |                   hydra.plugins
import time:      9258 |       9258 |                   hydra.core.default_element
import time:      6103 |       6103 |                   hydra.plugins.plugin
import time:     14655 |      37233 |                 hydra.plugins.config_source
import time:      5457 |      50625 |               hydra.core.config_store
import time:      7187 |       7187 |               hydra.types
import time:     18435 |      76246 |             hydra.conf
import time:      6308 |      82554 |           hydra.core.hydra_config
import time:      8027 |     130394 |         hydra.core.utils
import time:     16579 |     227815 |       hydra._internal.utils
import time:     30808 |    1653476 |     hydra._internal.instantiate._instantiate2
import time:     19431 |    1707443 |   hydra.utils
import time:      4655 |       4655 |   hydra.main
import time:      5542 |       5542 |         hydra.core.config_loader
import time:       124 |        124 |             importlib._abc
import time:       350 |        473 |           importlib.util
import time:      1362 |       1362 |           pkgutil
import time:        50 |         50 |             gc
import time:       849 |        898 |           timeit
import time:      5548 |       5548 |           hydra._internal.sources_registry
import time:      6033 |       6033 |           hydra.plugins.completion_plugin
import time:      5720 |       5720 |           hydra.plugins.launcher
import time:      5826 |       5826 |           hydra.plugins.search_path_plugin
import time:      7467 |       7467 |           hydra.plugins.sweeper
import time:      7258 |      40582 |         hydra.core.plugins
import time:     11072 |      11072 |         hydra._internal.callbacks
import time:      7316 |       7316 |           hydra._internal.config_repository
import time:      9565 |       9565 |               hydra.core.override_parser
import time:       962 |        962 |                   numbers
import time:      1734 |       2695 |                 _decimal
import time:      1561 |       4256 |               decimal
