   Building upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
      Built upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
Uninstalled 1 package in 30ms
Installed 1 package in 92ms
import time: self [us] | cumulative | imported package
import time:     16857 |      38041 |               antlr4.atn.ATNDeserializer
import time:     11543 |      11543 |                 antlr4.ListTokenSource
import time:      9941 |       9941 |                 antlr4.tree.Chunk
import time:     11182 |      11182 |                 antlr4.tree.RuleTagToken
import time:     11032 |      11032 |                 antlr4.tree.TokenTagToken
import time:     11436 |      55133 |               antlr4.tree.ParseTreePatternMatcher
import time:     14986 |     122373 |             antlr4.Parser
import time:     11013 |      11013 |             antlr4.dfa.DFA
import time:     10833 |      10833 |               antlr4.atn.PredictionMode
import time:     11415 |      22247 |             antlr4.atn.ParserATNSimulator
import time:      8625 |       8625 |             antlr4.error.DiagnosticErrorListener
import time:     16943 |     749071 |           antlr4
import time:     13016 |      13016 |               yaml.error
import time:     10043 |      10043 |               yaml.tokens
import time:     10089 |      10089 |               yaml.events
import time:      9760 |       9760 |               yaml.nodes
import time:     10762 |      10762 |                 yaml.reader
import time:     13070 |      13070 |                 yaml.scanner
import time:     11767 |      11767 |                 yaml.parser
import time:     12289 |      12289 |                 yaml.composer
import time:       122 |        122 |                     _datetime
import time:      1303 |       1425 |                   datetime
import time:        66 |         66 |                     binascii
import time:       852 |        917 |                   base64
import time:      9354 |      11695 |                 yaml.constructor
import time:     11729 |      11729 |                 yaml.resolver
import time:      9733 |      81041 |               yaml.loader
import time:      8879 |       8879 |                 yaml.emitter
import time:     10850 |      10850 |                 yaml.serializer
import time:      6793 |       6793 |                 yaml.representer
import time:      9261 |      35781 |               yaml.dumper
import time:       249 |        249 |                   yaml.yaml
import time:      5248 |       5497 |                 yaml._yaml
import time:      9817 |      15313 |               yaml.cyaml
import time:     11497 |     186536 |             yaml
import time:      5774 |       5774 |             omegaconf.errors
import time:      5004 |       5004 |                     omegaconf.grammar
import time:     10293 |      15296 |                   omegaconf.grammar.gen
import time:     10720 |      26016 |                 omegaconf.grammar.gen.OmegaConfGrammarLexer
import time:      8630 |       8630 |                 omegaconf.grammar.gen.OmegaConfGrammarParser
import time:      4785 |       4785 |                 omegaconf.grammar.gen.OmegaConfGrammarParserVisitor
import time:      4502 |      43931 |               omegaconf.grammar_visitor
import time:      5583 |      49513 |             omegaconf.grammar_parser
import time:      2927 |       2927 |                 attr._compat
import time:      1310 |       1310 |                   __future__
import time:        65 |         65 |                   unicodedata
import time:      4738 |       4738 |                   attr._config
import time:      2953 |       2953 |                     attr.exceptions
import time:      3501 |       6453 |                   attr.setters
import time:      5394 |      17958 |                 attr._make
import time:      5819 |      26704 |               attr.converters
import time:      7885 |       7885 |               attr.filters
import time:      9403 |       9403 |               attr.validators
import time:      6029 |       6029 |               attr._cmp
import time:      3500 |       3500 |               attr._funcs
import time:      2892 |       2892 |               attr._next_gen
import time:      3684 |       3684 |               attr._version_info
import time:      6354 |      66448 |             attr
import time:     11756 |     320024 |           omegaconf._utils
import time:     20433 |    1097885 |         omegaconf.base
import time:      6686 |       6686 |           omegaconf.basecontainer
import time:      6751 |       6751 |           omegaconf.nodes
import time:      8050 |      21486 |         omegaconf.dictconfig
import time:      4344 |       4344 |         omegaconf.listconfig
import time:     10275 |      10275 |               omegaconf.resolvers.oc.dict
import time:      9971 |      20245 |             omegaconf.resolvers.oc
import time:      6030 |      26275 |           omegaconf.resolvers
import time:      3834 |      30108 |         omegaconf.omegaconf
import time:      3099 |       3099 |         omegaconf.version
import time:     27789 |    1184708 |       omegaconf
import time:      1461 |       1461 |           gettext
import time:      2678 |       4138 |         argparse
import time:     14277 |      14277 |             hydra.core
import time:     29400 |      43676 |           hydra.core.config_search_path
import time:      5911 |      49587 |         hydra._internal.config_search_path_impl
import time:      8152 |       8152 |               packaging
import time:      3301 |       3301 |               packaging._structures
import time:      6642 |      18094 |             packaging.version
import time:      3458 |       3458 |               hydra.errors
import time:      5302 |       8760 |             hydra._internal.deprecation_warning
import time:      3898 |       3898 |             hydra.core.singleton
import time:      3882 |      34632 |           hydra.version
import time:      7746 |       7746 |                 hydra.core.object_type
import time:      5033 |       5033 |                   hydra.plugins
import time:      6316 |       6316 |                   hydra.core.default_element
import time:      3743 |       3743 |                   hydra.plugins.plugin
import time:     13815 |      28905 |                 hydra.plugins.config_source
import time:      4106 |      40757 |               hydra.core.config_store
import time:      4232 |       4232 |               hydra.types
import time:     21893 |      66880 |             hydra.conf
import time:      4065 |      70944 |           hydra.core.hydra_config
import time:      5212 |     110787 |         hydra.core.utils
import time:      8948 |     173459 |       hydra._internal.utils
import time:     24856 |    1441975 |     hydra._internal.instantiate._instantiate2
import time:     16656 |    1501773 |   hydra.utils
import time:      4561 |       4561 |   hydra.main
import time:      5484 |       5484 |         hydra.core.config_loader
import time:        92 |         92 |             importlib._abc
import time:       225 |        317 |           importlib.util
import time:      1683 |       1683 |           pkgutil
import time:        49 |         49 |             gc
import time:       936 |        984 |           timeit
import time:      8852 |       8852 |           hydra._internal.sources_registry
import time:      4160 |       4160 |           hydra.plugins.completion_plugin
import time:      4249 |       4249 |           hydra.plugins.launcher
import time:     11480 |      11480 |           hydra.plugins.search_path_plugin
import time:     18142 |      18142 |           hydra.plugins.sweeper
import time:      5211 |      55075 |         hydra.core.plugins
import time:      5818 |       5818 |         hydra._internal.callbacks
import time:      5636 |       5636 |           hydra._internal.config_repository
import time:      9030 |       9030 |               hydra.core.override_parser
import time:      1200 |       1200 |                   numbers
import time:      2554 |       3753 |                 _decimal
import time:      1156 |       4908 |               decimal
import time:        31 |         31 |                   _bisect
import time:       756 |        786 |                 bisect
import time:        28 |         28 |                 _random
import time:        27 |         27 |                 _sha512
import time:      1077 |       1917 |               random
import time:     12724 |      12724 |                 hydra._internal.grammar
import time:     15895 |      28619 |               hydra._internal.grammar.utils
import time:     15588 |      60060 |             hydra.core.override_parser.types
import time:      9489 |      69549 |           hydra._internal.defaults_list
import time:      7621 |       7621 |             hydra._internal.grammar.grammar_functions
import time:      6680 |       6680 |             hydra._internal.grammar.functions
import time:      4693 |       4693 |                   hydra.grammar
import time:     11766 |      16459 |                 hydra.grammar.gen
import time:     11340 |      27799 |               hydra.grammar.gen.OverrideLexer
import time:      7365 |       7365 |               hydra.grammar.gen.OverrideParser
import time:     13352 |      13352 |               hydra.grammar.gen.OverrideParserVisitor
import time:      5181 |      53696 |             hydra.core.override_parser.overrides_visitor
import time:      9982 |      77977 |           hydra.core.override_parser.overrides_parser
import time:      5377 |     158538 |         hydra._internal.config_loader_impl
import time:      5665 |     230579 |       hydra._internal.hydra
import time:      4595 |     235173 |     hydra.core.global_hydra
import time:      4294 |     239467 |   hydra.compose
import time:      6228 |       6228 |   hydra.initialize
import time:     16081 |    1768108 | hydra
import time:      6569 |       6569 |     lightning.__about__
import time:      6884 |       6884 |     lightning.__version__
import time:      6969 |       6969 |               lightning_utilities.__about__
import time:      8884 |       8884 |                   lightning_utilities.core.apply_func
import time:      6090 |       6090 |                     typing_extensions
import time:      6397 |      12486 |                   lightning_utilities.core.enums
import time:       163 |        163 |                         _csv
import time:      1112 |       1275 |                       csv
import time:       920 |        920 |                       email
import time:       134 |        134 |                           zlib
import time:       852 |        852 |                             _compression
import time:       814 |        814 |                             _bz2
import time:       909 |       2574 |                           bz2
import time:       770 |        770 |                             _lzma
import time:       841 |       1610 |                           lzma
